shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
0;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2150131.12613211;2150149.60397724;-72.1777391645912;-42.837786144702
0.ring1;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2150135.77165984;2150146.46054662;-67.9454551106855;-52.7850747813311
1;94081DJ0124_01_SEN_ind01.pdf;94081DJ0124;1;1;35;23;12;0;35;12;D > 50m;entre 60 et 90;0;0;0;0;24 X 13;5;/;2151182.25736253;2151206.95167349;-1.10561386552349;11.3126075361357
2;94081CL0010_01_SEN_ind01.pdf;94081CL0010;1;1;35;19;16;2;33;14;40m < D <= 50m;entre 60 et 90;1;1;1;0;13 X 9;8;/;2150560.62444748;2150575.48115583;26.5262247504465;39.532112497047
3;94081CK0051_01_SEN_ind01.pdf;94081CK0051;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;12 X 10;8;/;2150719.08809512;2150734.8532035;-14.4239599824434;1.11152268706568
4;94081CL0159_01_SEN_ind01.pdf;94081CL0159;1;1;35;17;18;3;32;15;30m < D <= 40m;entre 60 et 90;1;0;0;0;14 X 14;3;/;2150327.71432481;2150345.12212221;8.10081234915705;24.258679413947
5;94081CM0098_01_SEN_ind01.pdf;94081CM0098;1;1;35;17;18;3;32;15;40m < D <= 50m;entre 30 et 60;1;3;1;0;7 X 7;11;Prsence de sablire;2150263.59698639;2150271.18291707;-3.39813463757089;7.46682301408059
6;94081CM0022_01_SEN_ind01.pdf;94081CM0022;1;2;35;16;19;2;33;17;40m < D <= 50m;entre 60 et 90;1;1;1;0;15 X 7;5;Prsence de sablire;2150217.38105492;2150232.8219982;-8.97427030039646;2.30866275886332
7;94081CK0112_01_SEN_ind01.pdf;94081CK0112;1;1;35;19;16;0;35;16;D > 50m;entre 60 et 90;0;1;1;0;11 X 8;5;/;2150600.50855174;2150611.34162002;-7.54691989991371;4.59347046847389
8;94081CL0041_01_SEN_ind01.pdf;94081CL0041;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;0;0;9 X 8;4;NULL;2150512.00525361;2150523.17491993;5.50360491620773;14.8859949833161
9;94081CK0015_02_SEN_ind01.pdf;94081CK0015;2;1;35;21;14;2;33;12;D > 50m;<30;1;0;1;0;10 X 5;4;/;2150837.27735145;2150854.84930895;6.04384791905441;23.4414068626896
10;94081CI0022_01_SEN_ind01.pdf;94081CI0022;1;1;35;15;20;0;35;20;20m < D <= 30m;<30;0;0;1;0;10 X 7;3;Prsence de sablire;2150191.42833843;2150203.60589726;-13.3914135124026;-2.29416199352029
11;94081CK0068_01_SEN_ind01.pdf;94081CK0068;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;1;1;0;10 X 8;8;Prsence de sablire;2150693.93270419;2150708.65377986;-10.9835375170188;2.08082300899015
12;94081CK0180_01_SEN_ind01.pdf;94081CK0180;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;1;0;12 X 7;6;/;2150598.79009077;2150618.47373782;-33.6208023084972;-21.9595638451081
13;94081CI0009_01_SEN_ind01.pdf;94081CI0009;1;1;35;13;22;3;32;19;Au dessus de l'axe;<30;1;1;1;0;20 X 6;5;Sous-sol semi-enterr.;2150146.2785263;2150169.06390406;-88.5382964839593;-65.8504362371618
14;94081CJ0102_01_SEN_ind01.pdf;94081CJ0102;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;NULL;0;11 X 10;6;Prsence de sablire;2150943.12155976;2150957.99147045;-64.5648047754661;-50.0218974963207
15;94081CK0088_01_SEN_ind01.pdf;94081CK0088;1;1;35;19;16;2;33;14;D > 50m;entre 30 et 60;1;0;1;0;11 X 7;4;sous-sol semi-enterr;2150643.54869901;2150655.1616481;-19.2387510361319;-6.54251231494949
16;94081CI0020_01_SEN_ind01.pdf;94081CI0020;1;2;35;15;20;0;35;20;40m < D <= 50m;<30;0;1;ND11;0;16 X 6;4;Prsence de sablire;2150188.82991892;2150204.53936407;-37.866908253291;-17.9913001264135
17;94081CJ0100_04_SEN_ind01.pdf;94081CJ0100;4;2;35;20;15;3;32;12;D > 50m;entre 30 et 60;1;4;1;?;27 X 9;15;Prsence de sablire;2150762.72524125;2150798.92736749;-104.687277154401;-46.2675804008683
18;94081CI0014_01_SEN_ind01.pdf;94081CI0014;1;1;35;13;22;2;33;20;0m < D <= 10m;entre 60 et 90;1;0;1;0;12 X 10;3;NULL;2150168.42166491;2150175.78922221;-73.2864194301154;-50.7180367919505
19;94081CK0067_03_SEN_ind01.pdf;94081CK0067;3;1;33;20;13;2;31;11;D > 50m;entre 60 et 90;1;1;0;0;9 X 4;5;NULL;2150692.73664552;2150712.68962488;-1.24388933465215;17.8331761694294
20;94081CL0004_01_SEN_ind01.pdf;94081CL0004;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;1;0;8 X 5;8;/;2150569.00579386;2150577.36012864;-27.1684762461239;-18.9806441926706
21;94081CK0019_01_SEN_ind01.pdf;94081CK0019;1;1;35;20;15;2;33;13;D > 50m;<30;1;0;1;NULL;5 X 4;6;/;2150790.56112993;2150804.09603062;-20.613778051149;-3.35312989519453
22;94081DJ0121_02_SEN_ind01.pdf;94081DJ0121;2;2;35;26;9;1;34;8;10m < D <= 20m;entre 30 et 60;0;1;0;0;30 X 10;6;interieure non visit;2151411.16876284;2151447.53817553;-2.03408489210133;89.2099052015219
23;94081CJ0258_03_SEN_ind01.pdf;94081CJ0258;3;1;35;21;14;0;35;14;D > 50m;entre 30 et 60;0;0;0;0;7 X 5;3;Prsence de sablire;2150922.11222343;2150988.73137783;-23.2204598505442;55.9304440637211
24;94081CK0093_01_SEN_ind01.pdf;94081CK0093;1;1;35;20;15;2;33;13;40m < D <= 50m;<30;1;1;0;0;11 X 7;6;NULL;2150691.39585569;2150707.67602833;24.8209712985452;35.635243388584
25;94081CK0020_01_SEN_ind01.pdf;94081CK0020;1;1;35;20;15;2;33;13;D > 50m;<30;1;0;1;0;9 X 7;3;NULL;2150784.94412774;2150795.62191778;-27.6616038681193;-8.19329153700956
26;94081CI0012_01_SEN_ind01.pdf;94081CI0012;1;1;35;15;20;Non dtermin;NULL;non dtermin;0m < D <= 10m;entre 60 et 90;Non dtermin;1;1;0;10 X 8;6;NULL;2150143.30512255;2150158.91796023;-51.4094144235085;-31.4969078003085
27;94081CI0008_01_SEN_ind01.pdf;94081CI0008;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;0m < D <= 10m;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;9 X 9;7;NULL;2150125.17007223;2150150.28302341;-90.4016569610205;-47.9837128086808
28;94081CK0103_01_SEN_ind01.pdf;94081CK0103;1;1;35;20;15;2;33;13;40m < D <= 50m;entre 30 et 60;1;1;1;0;10 X 8;8;/;2150651.68626758;2150664.14406196;24.0845116316721;41.2706260756989
29;94081CJ0255_04_SEN_ind01.pdf;94081CJ0255;4;1;35;22;13;Non connus;NULL;non dtermin;D > 50m;entre 60 et 90;0;1;0;?;22 X 18;9;Prsence de sablire;2151002.09304165;2151033.89739389;-58.1886354376178;-10.0831591099617
30;94081CK0052_01_SEN_ind01.pdf;94081CK0052;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;0;1;0;9 X 9;6;/;2150729.20025301;2150745.92662043;-5.0184923689932;8.73516926625584
31;94081DJ0122_01_SEN_ind01.pdf;94081DJ0122;1;1;35;25;10;0;35;10;Au dessus de l'axe;<30;0;0;0;0;90 X 65;7;NULL;2151334.99530574;2151405.81100197;-5.86840527713127;92.3464308944486
