WKT;bldg_code;Address;City;typology;pk_min;pk_max;d_min;d_max
POLYGON ((1656058.4122380363 8175903.120573584,1656054.2937853169 8175912.0490380432,1656071.0444400844 8175920.8131282059,1656078.570319633 8175924.6458786149,1656079.3086482096 8175925.0848666159,1656083.7954201661 8175916.2647214392,1656074.8672303648 8175911.6646036962,1656066.3073160374 8175907.1728000343,1656058.4122380363 8175903.120573584),(1656058.0265204054 8175910.1292291898,1656059.1821016998 8175907.5625204258,1656068.8477665295 8175912.4904062785,1656069.7173015769 8175910.926754836,1656073.4806875095 8175912.8987245448,1656074.950344132 8175912.8871522555,1656075.6877990151 8175913.2149463929,1656073.7317807102 8175916.7887569349,1656071.2228588467 8175915.4741100613,1656070.4985384061 8175916.8142171903,1656069.6132424725 8175916.3763877079,1656069.6849739705 8175916.1534222765,1656058.0265204054 8175910.1292291898));94081CI0010_01;19, Rue de Choisy;94081 Vitry-sur-Seine;building;2150131.1261325;2150149.60397947;-72.1777370320503;-42.8377899739705
POLYGON ((1656570.6532585863 8176016.903561471,1656569.780988818 8176024.7388470452,1656568.4839575482 8176036.5361673441,1656567.9756916428 8176041.0993331876,1656579.5079208743 8176042.3439598344,1656582.3484944475 8176018.3137255982,1656570.6532585863 8176016.903561471));94081DJ0124_01;Rue Lon Geffroy;94081 Vitry-sur-Seine;building;2151182.25736253;2151206.95167191;-1.10561796888496;11.3126055626442
POLYGON ((1656121.8048298126 8176282.7041670717,1656116.053429106 8176280.1918042842,1656114.3205756994 8176284.0974479401,1656112.7722898747 8176283.4424274163,1656110.8225056361 8176287.7945801942,1656106.619391345 8176285.9372471031,1656106.0551924005 8176288.9440950761,1656109.5952541411 8176290.5842441963,1656109.738710236 8176290.1383142024,1656117.0392613742 8176293.4168852139,1656121.8048298126 8176282.7041670717));94081CL0010_01;39, Avenue La Bruyere;94081 Vitry-sur-Seine;building;2150560.6244471;2150575.48115479;26.5262302127212;39.5321150296178
POLYGON ((1656246.2909200322 8176339.7728829114,1656246.8070048485 8176339.9912354043,1656254.1896067425 8176344.3813442579,1656254.7809120086 8176344.8215081505,1656259.2728438363 8176336.6686612694,1656260.6006657458 8176337.3254509633,1656261.9049466287 8176334.9800177291,1656259.5414670038 8176333.4417464314,1656254.3001625163 8176330.3692405224,1656252.5279859104 8176329.2711361013,1656246.2909200322 8176339.7728829114));94081CK0051_01;24 rue Talma;94081 Vitry-sur-Seine;building;2150719.08809444;2150734.85320115;-14.4239587810565;1.1115276200591
POLYGON ((1656018.0685184509 8176117.6102684969,1656007.171535606 8176114.9161887569,1656002.399021962 8176124.7394559756,1656004.0454003627 8176128.5072811525,1656015.4602250447 8176131.6420726487,1656016.8886177689 8176126.4043956175,1656015.2685503152 8176125.9723684154,1656018.017832665 8176120.5018760376,1656019.319434097 8176117.8228064012,1656018.951156752 8176117.7145097107,1656018.0685184509 8176117.6102684969));94081CL0159_01;58, Rue de Choisy;94081 Vitry-sur-Seine;building;2150327.7143241;2150345.12212541;8.10081400101434;24.2586830414141
POLYGON ((1656017.6414013123 8176054.1182644749,1656013.2158840545 8176052.0403535049,1656012.2764136523 8176054.0493669296,1656009.6214531884 8176052.8470998323,1656008.6102570209 8176055.0790801086,1656011.1917357096 8176056.2819261719,1656010.0353314446 8176058.737451857,1656013.5020860154 8176060.3781190803,1656017.1892811384 8176062.0170503603,1656020.3715936691 8176055.542342837,1656017.6414013123 8176054.1182644749));94081CM0098_01;45, Rue de Choisy;94081 Vitry-sur-Seine;building;2150263.59698993;2150271.18291693;-3.39813182241687;7.46682755174714
POLYGON ((1656033.6291752746 8176022.0777479457,1656027.5074306766 8176019.2347927056,1656029.6811976081 8176015.3256478533,1656028.647198 8176014.6665964695,1656029.227161736 8176013.6612223405,1656030.6959153765 8176013.5384450089,1656033.084873159 8176008.9604036519,1656031.1664646212 8176007.974721604,1656025.7342344578 8176018.0255672922,1656023.6330761781 8176021.8229410294,1656031.9671484465 8176025.6492569139,1656033.6291752746 8176022.0777479457));94081CM0022_01;35, Rue de Choisy;94081 Vitry-sur-Seine;building;2150217.38105574;2150232.82200112;-8.97426569796961;2.30865971414636
POLYGON ((1656135.691117052 8176338.5287072686,1656136.6988132163 8176335.8519756831,1656133.011833532 8176334.2129649678,1656133.8052182957 8176332.3163204249,1656134.9108755272 8176332.7524268227,1656135.9211955718 8176330.4092754116,1656135.1103217124 8176330.0820509885,1656136.5545115366 8176326.8458853802,1656130.065765159 8176324.0057057189,1656125.588878972 8176334.0489448784,1656130.1610861439 8176336.1257898184,1656135.691117052 8176338.5287072686));94081CK0112_01;46 avenue de la Bruyere;94081 Vitry-sur-Seine;building;2150600.50855236;2150611.34162187;-7.54691810172542;4.59347293825061
POLYGON ((1656066.4749662734 8176273.6876470279,1656061.114570044 8176274.1746695694,1656061.2781676811 8176276.2861868879,1656058.1938416858 8176276.5328835389,1656058.4335461624 8176278.9774022,1656061.4443928022 8176278.7312844638,1656061.6097419322 8176281.0651886361,1656065.9423155186 8176280.6974620186,1656069.1001175069 8176280.4501909707,1656068.7764311153 8176276.6719295308,1656066.7199217794 8176276.7993265372,1656066.4749662734 8176273.6876470279));94081CL0041_01;39, Avenue Ernest Havet;94081 Vitry-sur-Seine;building;2150512.00525744;2150523.17491862;5.50360066684832;14.8859945790968
POLYGON ((1656350.8973540801 8176270.0091724284,1656356.309035413 8176257.2899979074,1656345.7650912325 8176252.7020930694,1656344.8272768746 8176254.9334377917,1656348.1459835903 8176256.4642699463,1656345.1138476916 8176263.3824154763,1656344.8190646202 8176263.2735222103,1656344.1690736359 8176264.7242126605,1656341.8834170888 8176263.7412988162,1656340.9447359114 8176265.861450756,1656343.3782183453 8176266.9544075392,1656350.8973540801 8176270.0091724284));94081CK0015_02;17bis rue Gabriel Peri;94081 Vitry-sur-Seine;building;2150837.27734758;2150854.84930617;6.04384369796005;23.4414036066573
POLYGON ((1656040.1852985448 8175996.1164119588,1656044.7700791839 8175999.7498935694,1656047.9245351893 8175999.0578370607,1656049.0083631941 8175996.7140916986,1656045.2467768369 8175994.9645251036,1656047.7765856818 8175989.6069784518,1656051.5381748178 8175991.3565467447,1656052.1163931384 8175990.1287882524,1656044.7392987888 8175986.5173020437,1656043.148983367 8175989.865841791,1656040.9078486797 8175994.5539140301,1656040.1852985448 8175996.1164119588));94081CI0022_01;33 rue de Choisy;94081 Vitry-sur-Seine;building;2150191.42833504;2150203.60589957;-13.3914128956541;-2.29416749830774
POLYGON ((1656234.8110272973 8176337.6389359571,1656232.966244298 8176336.6526076933,1656228.3905863047 8176334.1309046932,1656226.1415860769 8176337.8181630298,1656226.0873058897 8176340.2649955032,1656223.6520865464 8176338.9497029167,1656223.2173317843 8176339.7315169442,1656222.1099376238 8176339.0730061438,1656220.3700475083 8176342.0890694968,1656221.4030914281 8176342.6369631803,1656229.2283178465 8176347.2459658701,1656234.8110272973 8176337.6389359571));94081CK0068_01;21 rue Talma;94081 Vitry-sur-Seine;building;2150693.93270184;2150708.65377805;-10.983533084671;2.08081903531594
POLYGON ((1656135.4409007891 8176353.4315165477,1656131.5737271765 8176356.9091382166,1656130.1654214105 8176355.3634096226,1656127.3216824254 8176358.1657834444,1656126.134681331 8176356.729515559,1656117.2859517315 8176352.7959106192,1656116.2004171133 8176354.9172566505,1656124.1656714154 8176358.6354084192,1656123.3005661578 8176360.7550192168,1656130.823197087 8176364.2542614657,1656138.8505714657 8176357.1855152352,1656135.4409007891 8176353.4315165477));94081CK0180_01;52 avenue de la Bruyere;94081 Vitry-sur-Seine;building;2150598.79008741;2150618.47373805;-33.6208045050184;-21.9595603067017
POLYGON ((1656036.9677342018 8175923.5279831318,1656035.9345949411 8175922.98012383,1656046.3461389127 8175901.3252261747,1656050.4043475091 8175903.4060577527,1656052.2877487477 8175899.9440113548,1656042.6955305708 8175895.0155752245,1656041.3667019408 8175894.2476443164,1656031.0889829751 8175914.2334921686,1656032.0477651251 8175914.670736366,1656028.8671090738 8175921.3678231025,1656036.0990866271 8175925.2028330704,1656036.9677342018 8175923.5279831318));94081CI0009_01;9/11, Rue Georges Martin;94081 Vitry-sur-Seine;building;2150146.27852757;2150169.06390597;-88.5382917931079;-65.8504357647043
POLYGON ((1656478.3385381629 8176263.4533824734,1656470.6794499101 8176261.2891404219,1656470.1081105978 8176263.4064036747,1656468.2480068302 8176269.8705341369,1656475.8336062229 8176272.0353461923,1656479.3683628514 8176273.0085690739,1656480.0745155916 8176269.3334514834,1656481.0641720521 8176264.3217192041,1656481.2750642202 8176263.0968711609,1656481.2715942429 8176262.652097241,1656478.9885640668 8176262.0027076565,1656478.5598403516 8176263.5628560837,1656478.3385381629 8176263.4533824734));94081CJ0102_01;20 villa Broussais;94081 Vitry-sur-Seine;building;2150943.12155488;2150957.99147551;-64.5648055012309;-50.0218978061533
POLYGON ((1656172.1829104752 8176353.5875073001,1656175.9634354198 8176357.7834158335,1656180.1227968908 8176354.0811291644,1656177.4540379602 8176351.0996867567,1656178.5483319641 8176350.0902870698,1656177.5852679762 8176349.097050298,1656177.3665838519 8176349.3211689442,1656173.2895248469 8176344.7939884029,1656171.756988992 8176346.1404333981,1656171.3126315044 8176345.6991236331,1656168.2466882383 8176348.2808216941,1656172.6211516492 8176353.2504630489,1656172.1829104752 8176353.5875073001));94081CK0088_01;50, rue des Ardoines;94081 Vitry-sur-Seine;building;2150643.54869754;2150655.16164517;-19.2387472541134;-6.5425102458795
POLYGON ((1656034.6277216855 8175990.2665951969,1656037.9526789798 8175983.2347729765,1656035.2968143481 8175981.9213003619,1656038.6217776225 8175974.8894785959,1656041.1298045637 8175976.0929175038,1656041.6345402226 8175974.8657369921,1656028.1364958026 8175968.5225022864,1656026.8366071996 8175971.4239562377,1656029.9342475149 8175972.8451429848,1656027.4053243813 8175978.3138910187,1656033.4536316721 8175981.1574251866,1656030.2765188667 8175988.2992850654,1656034.6277216855 8175990.2665951969));94081CI0020_01;3 rue grtillat;94081 Vitry-sur-Seine;building;2150188.82991695;2150204.53936151;-37.866909534818;-17.9913021792703
POLYGON ((1656330.3989628984 8176401.8307417277,1656330.4724392891 8176401.830166488,1656330.2029085066 8176404.9458846524,1656338.378801753 8176407.4394885805,1656338.8557107043 8176402.6541433204,1656339.9595970672 8176402.8679034486,1656345.25042379 8176346.5591512891,1656342.8230680777 8176346.2445478756,1656343.229990741 8176341.9045522166,1656335.8753095455 8176341.072516419,1656335.4692629422 8176345.5237060757,1656335.8375190101 8176345.6320236884,1656330.3989628984 8176401.8307417277));94081CJ0100_04;44 rue Gabriel Peri;94081 Vitry-sur-Seine;building;2150762.72523893;2150798.92736695;-104.687276736654;-46.2675771227863
