BLDG_CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
2150390.18674388;2150390.18674388;2150391.76248065;-2626.76338601424;-2611.18716816115
2151112.92376689;2151112.92376689;2151114.77086903;-3489.43689794507;-3456.22853225436
2151147.8323533;2151147.8323533;2151151.20168124;-2720.10947124808;-2659.61734469694
2151152.61339253;2151152.61339253;2151166.632085;-2740.11913679705;-2492.39898564596
2151139.83759711;2151139.83759711;2151143.02014905;-2359.94930650304;-2315.43986897712
2150131.1261325;2150131.1261325;2150149.60397947;-72.1777370320503;-42.8377899739705
2150272.0112534;2150272.0112534;2150294.85261687;-304.705267808746;-195.664443125452
2150432.77891656;2150432.77891656;2150439.49366738;-1048.41080831809;-1011.06292970194
2151142.05203913;2151142.05203913;2151148.29547899;-2965.65415371167;-2883.78633215298
2151152.11403321;2151152.11403321;2151154.98563736;-2811.04266978356;-2780.02853265794
2150380.02267705;2150380.02267705;2150392.30254227;-2541.40767764218;-2487.11222353465
2151134.49300916;2151134.49300916;2151140.74944858;-2039.38929882875;-2013.47670412633
2151124.43022996;2151124.43022996;2151125.01485765;-1605.42035546484;-1592.1783363958
2151124.87184919;2151124.87184919;2151126.21502194;-1487.05604868914;-1475.78601064233
2151131.35239347;2151131.35239347;2151133.68362404;-1183.6197208599;-1168.34148997317
2151123.92090538;2151123.92090538;2151124.66906072;-1608.61210815514;-1592.63547390507
2151132.91853719;2151132.91853719;2151134.26846932;-1737.65132830258;-1726.49808245482
2151128.10203472;2151128.10203472;2151130.2632089;-1531.98196920648;-1517.10867016469
2151116.3643146;2151116.3643146;2151118.25699134;-1193.72511652255;-1180.62761083732
2151120.26111444;2151120.26111444;2151121.96866293;-1477.56796911826;-1468.51646922875
2151132.50855547;2151132.50855547;2151138.12713348;-1130.81065850778;-1078.07876271078
2151133.53346482;2151133.53346482;2151134.54736906;-1756.92445932693;-1744.24857232577
2151132.90553305;2151132.90553305;2151133.92859529;-1715.52617781049;-1702.93659181097
2151131.02052691;2151131.02052691;2151131.96675764;-1767.13244122055;-1756.53380916622
2151126.04611617;2151126.04611617;2151129.75485752;-1512.61925515071;-1485.35526910567
2151128.94592258;2151128.94592258;2151130.25027499;-1607.8192461014;-1590.5266974068
2151119.81084116;2151119.81084116;2151121.47584008;-1470.03589897805;-1456.9975843898
2151124.26172537;2151124.26172537;2151125.76791186;-1468.88789989097;-1455.90152840087
2151130.04485144;2151130.04485144;2151131.05634396;-1602.00939751786;-1589.05068549562
2151121.83224806;2151121.83224806;2151123.37322457;-1304.24639784702;-1296.25971871356
2151125.13220631;2151125.13220631;2151126.42503756;-1278.99437051571;-1270.2028670121
2151129.20437259;2151129.20437259;2151130.19836384;-1763.70037802235;-1755.46978419868
2151128.76733216;2151128.76733216;2151130.00602418;-1731.78778272772;-1720.55658487065
2151128.8770643;2151128.8770643;2151129.95765554;-1721.44528057631;-1710.63348404673
2151117.74587155;2151117.74587155;2151122.67473655;-1191.02277812839;-1154.57711917558
2151127.00909786;2151127.00909786;2151129.57077189;-1462.82794137074;-1450.69642021057
2151124.28067047;2151124.28067047;2151125.80175181;-1479.65017689658;-1466.74327893725
2151124.2908318;2151124.2908318;2151128.31162178;-1296.38325726827;-1280.13017945415
2151133.1160204;2151133.1160204;2151134.27943407;-1727.33399448055;-1714.68653094169
2151129.05640888;2151129.05640888;2151129.9806912;-1753.30330654877;-1743.1794636272
2151110.12643002;2151110.12643002;2151118.10527047;-1230.46229992691;-1193.29106189627
2151120.67504674;2151120.67504674;2151122.7580806;-1484.51691802752;-1471.47186671655
2151127.11068647;2151127.11068647;2151128.02788915;-1599.0824120738;-1588.69559367647
2151130.59543405;2151130.59543405;2151132.908728;-1175.02001237382;-1160.00556129426
2151121.7308245;2151121.7308245;2151123.03468068;-1499.67042655633;-1487.33565238413
2151131.21157888;2151131.21157888;2151132.95172955;-1705.06008879222;-1692.28590421317
2151127.95059988;2151127.95059988;2151129.05971416;-1602.10783047302;-1591.63260020768
2151121.19086839;2151121.19086839;2151122.91361351;-1290.9367267416;-1276.2243445685
2151133.11400618;2151133.11400618;2151134.14090315;-1703.47461778739;-1697.02937781094
2151131.02246616;2151131.02246616;2151131.81541995;-1882.48818084576;-1874.05691870919
2151129.30099562;2151129.30099562;2151131.27709746;-1989.62891796347;-1955.5717565228
2151134.70875369;2151134.70875369;2151136.61475751;-1979.02222596119;-1944.6672973996
2150393.94784963;2150393.94784963;2150394.48688135;-2594.61598833011;-2580.64102118002
2150394.93920474;2150394.93920474;2150397.302988;-2513.59537617983;-2479.75018259435
2150397.11719116;2150397.11719116;2150398.23888835;-2498.0697628414;-2483.25322294773
2150404.95293214;2150404.95293214;2150406.19701217;-2160.4378519485;-2145.71540133623
2150398.36235828;2150398.36235828;2150399.20888776;-2321.06135168443;-2309.5132578989
2150398.63105335;2150398.63105335;2150399.89045798;-2311.38369374953;-2290.30442603187
2150407.6989086;2150407.6989086;2150408.80792366;-2136.14472810817;-2123.70322617544
2150405.37328793;2150405.37328793;2150410.4841191;-2206.26022230907;-2151.1439477532
2150412.11186865;2150412.11186865;2150413.28294575;-2102.30046296973;-2089.88014538765
2150409.55455707;2150409.55455707;2150410.70714499;-2052.13519271762;-2038.57828012685
2150392.88597586;2150392.88597586;2150393.84423873;-2596.55628698171;-2586.44906342761
2150404.10928372;2150404.10928372;2150405.09692982;-2216.06950719782;-2204.85076093605
2150397.82144687;2150397.82144687;2150398.58691429;-2350.26036794733;-2337.84919610127
2150405.72875835;2150405.72875835;2150407.04970235;-2154.93531042245;-2139.6640900145
2150393.6530153;2150393.6530153;2150395.16215213;-2617.39771274362;-2581.75173680718
2150409.46803647;2150409.46803647;2150410.39319358;-2116.52060813857;-2105.79584430505
2150394.85050363;2150394.85050363;2150395.85396749;-2560.69833845289;-2546.40783523652
2150411.19021387;2150411.19021387;2150412.44227382;-2067.1166339494;-2053.03135723422
2150404.36398407;2150404.36398407;2150405.72358632;-2168.42711504246;-2152.98071793649
2150401.44783277;2150401.44783277;2150402.63582004;-2200.75622286627;-2186.93377931226
2150392.76447566;2150392.76447566;2150393.48707895;-2616.47802089598;-2608.11660408631
2150396.99551296;2150396.99551296;2150397.8822885;-2394.23857290485;-2386.81647924149
2150410.51253565;2150410.51253565;2150411.80278198;-2060.5702778929;-2046.0650701254
2150394.35478425;2150394.35478425;2150395.83548558;-2557.80412826765;-2516.73633351509
2150403.20838174;2150403.20838174;2150404.05461425;-2189.1050873805;-2178.66158618743
2150398.26349244;2150398.26349244;2150399.22361019;-2339.1190139233;-2327.52355323367
2150395.92650494;2150395.92650494;2150397.00378679;-2565.21189494231;-2552.9198853317
2150409.90882946;2150409.90882946;2150410.86967979;-2109.96885307817;-2098.9604811366
2150412.86285601;2150412.86285601;2150413.84255674;-2079.41743530498;-2068.42834355305
2150403.28326058;2150403.28326058;2150404.70472691;-2223.44493273079;-2207.72810765271
2150399.22628172;2150399.22628172;2150400.56901644;-2246.0986335726;-2236.05195388485
2150392.67831843;2150392.67831843;2150393.38514094;-2622.46617886843;-2614.57027954039
2150408.89137245;2150408.89137245;2150410.15046705;-2049.13355807877;-2033.12245409219
2150410.1585986;2150410.1585986;2150411.62374908;-2107.82715684463;-2091.84588638255
2150396.89663385;2150396.89663385;2150397.78814978;-2402.11730917586;-2392.06483038118
2150411.00341203;2150411.00341203;2150412.05226301;-2102.75114422545;-2090.84134464329
2150402.07927488;2150402.07927488;2150403.34666901;-2158.06757954323;-2143.39965886685
2150402.43702141;2150402.43702141;2150403.42069509;-2196.13966869547;-2183.82931777162
2150399.25543271;2150399.25543271;2150402.28196529;-2271.3124309453;-2248.03448834344
2150398.12038298;2150398.12038298;2150398.81539698;-2328.32197859901;-2318.94921962232
2150393.28650718;2150393.28650718;2150394.65229229;-2642.77703184319;-2614.07861994258
2150408.47372814;2150408.47372814;2150409.46080324;-2129.39758290696;-2117.87856045594
2150408.59137235;2150408.59137235;2150409.92995866;-2122.32583491844;-2107.83773419093
2150404.57372225;2150404.57372225;2150405.43651479;-2230.13318446605;-2219.66213344567
2150410.70088051;2150410.70088051;2150411.36028924;-2049.03075612431;-2041.56036309628
2150397.55252346;2150397.55252346;2150398.56744191;-2368.75949502363;-2356.96558445514
2150412.24870902;2150412.24870902;2150413.31847817;-2074.8732809299;-2062.70946128197
2150403.52719618;2150403.52719618;2150404.64943172;-2185.10255173035;-2170.57149719285
2150394.24877172;2150394.24877172;2150395.96026489;-2544.17987093012;-2510.21361358172
2150395.55446234;2150395.55446234;2150396.16456393;-2561.99786296239;-2547.80640412989
2151140.48545982;2151140.48545982;2151141.36805259;-2367.16064040616;-2358.01338613052
2151136.33972667;2151136.33972667;2151136.87640645;-3137.93153665793;-3129.06648285432
2151149.04519367;2151149.04519367;2151150.29381131;-2845.44561623788;-2826.89366516432
2151154.77582897;2151154.77582897;2151156.89151672;-2689.69385785576;-2624.40120999464
2151137.88573717;2151137.88573717;2151138.10319658;-3114.90545099529;-3108.66580109793
2151144.94922031;2151144.94922031;2151145.94107132;-2350.40428341244;-2319.71249906014
2151137.30750105;2151137.30750105;2151137.72007156;-3114.92343864803;-3106.5392073478
2151145.86714434;2151145.86714434;2151149.49133719;-2741.42548940157;-2703.98411518155
2151146.5323318;2151146.5323318;2151147.42496741;-2764.39463180932;-2748.92907693844
2151138.24080991;2151138.24080991;2151138.84597566;-3117.00353684095;-3105.06769472844
2151150.01409922;2151150.01409922;2151152.63685347;-2892.07401787883;-2854.12156294553
2151145.25097078;2151145.25097078;2151146.74142067;-2782.36666970591;-2759.70572373557
2151131.69159615;2151131.69159615;2151132.31887397;-3125.50869427718;-3114.9147839854
2151153.22190057;2151153.22190057;2151154.77849457;-2640.95876443842;-2618.82812038558
2151134.71711434;2151134.71711434;2151135.43383915;-3134.52530947725;-3126.3209302272
2151138.82369157;2151138.82369157;2151139.56383605;-3113.02794910919;-3097.75352695286
2151132.23274404;2151132.23274404;2151133.47546497;-3110.75443305293;-3096.02810155333
2151155.04133492;2151155.04133492;2151157.35695763;-2721.57190080896;-2687.15661093313
