bldg_code;pk_min;pk_max;d_min;d_max
2;1955.365508;2006.583129;-44.92247101;-14.6994706
3;1959.655119;2020.006026;8.378442911;26.00257832
3B;2047.231977;2051.243633;-14.41332105;-8.209444831
4;2075.239242;2114.69016;0.472543929;82.3614523
5;2094.939778;2202.957415;-42.92120905;52.72494115
6;2214.176657;2277.239051;-24.01897025;35.22701063
6A;2226.551015;2248.845573;-29.13311411;-11.26298746
6B;2241.053246;2274.130957;-23.68012692;19.21080645
7;2202.338692;2312.918511;-88.96575928;-18.0019502
8;2285.125371;2334.894932;-23.85132813;81.29393906
9;2321.232671;2391.632545;-37.48217932;63.16325023
10;2397.904921;2464.749442;-48.40551509;-3.667053938
10A;2437.412128;2464.628441;-36.94836068;-17.63358044
11;2473.630141;2521.478347;-43.06179371;-3.902351124
11A;2521.410271;2538.406312;-37.26761791;-5.348753506
12;2408.197193;2541.689131;6.241535025;40.5257981
13;2539.981757;2568.235467;-26.53055871;-3.874630282
14;2540.551369;2558.447835;6.230877798;52.30833288
15;2584.29098;2627.986927;-72.60339697;-4.031461087
16;2569.892322;2618.385415;5.945134809;49.40284925
17;2601.739729;2620.721105;11.67916997;25.31743467
18;2632.10405;2647.684169;-7.314406752;7.932759571
19;2631.825131;2651.868192;7.587559838;53.41100929
20;2635.124457;2683.933031;-28.14762506;17.04728129
21;2651.747567;2704.186523;-13.186064;45.48186968
22;2652.333603;2684.950329;31.71824881;62.79450514
23;2698.012997;2724.666089;3.763203782;57.92392817
24;2718.079847;2753.63422;18.22228771;56.36123661
25;2722.589491;2784.304092;-34.73250739;31.27097736
25A;2760.103509;2790.956949;-16.02389621;21.53249196
26;2767.483147;2787.718373;26.37274679;52.56483178
27;2779.641401;2809.318566;5.974748709;45.23229218
28;2797.530408;2850.675941;-10.71323881;50.57754111
29;2831.065797;2886.951963;8.465333836;66.87353996
30;2851.480829;2874.013658;3.006989412;23.60212013
31;2779.353107;2832.577377;-49.17541795;-2.920480571
32;2818.821224;2862.323371;-30.16105699;-3.962852383
33;2860.099735;2898.016069;-43.62212671;17.74889625
34;2905.211366;2919.959167;21.92569599;33.58257741
35;2912.493585;2941.646592;-45.56533224;19.94295187
36;2939.118783;2969.1015;26.73508059;60.35878578
37;2984.62478;2993.996008;11.64548931;38.65879333
38;2946.994427;3005.902967;-55.48035158;3.823003212
39;3004.589972;3018.206658;1.48715289;15.68253739
40;3006.687846;3020.916504;-42.94438543;-1.99351405
41;3020.819137;3056.963353;23.57189862;44.59553594
42;3051.640462;3075.138686;-22.81216214;5.448141757
43;3047.788025;3090.470171;1.127315572;62.00364883
44;3067.187215;3119.948646;28.3070027;75.35319583
45;3090.012303;3102.145199;26.63528468;33.89738254
46;3092.62333;3117.977207;7.006143634;27.88339902
47;3081.165665;3144.162388;-29.36772338;11.25774586
48;3115.633296;3145.988397;0.157271569;62.39463531
49;3133.506634;3199.482686;13.44171576;72.4214638
50;3158.346579;3233.590996;-70.88502266;13.42271028
51;3215.565988;3259.36259;-46.44224581;6.677724931
52;3198.228968;3298.893535;-5.851306179;57.36305476
53;3253.374394;3288.950578;-33.2342179;4.757091136
54;3280.198855;3294.63301;0.03400766;16.76519868
55;3269.708544;3307.247633;-53.37657246;-25.88950059
56;3294.536675;3305.190227;-20.92085879;-7.224470129
57;3305.117293;3323.762411;-32.43788088;-1.479524663
57A;3315.795123;3325.504718;-2.646695305;9.788847457
58;3331.087126;3346.795454;-23.91006022;-15.37274215
59;3295.503518;3380.664484;-48.19479278;39.59514193
