ID;Descrizione;PK;x;y;z
Falda (4);Falda;1936.58;2527760.03;4151179.54;-0.24
Falda (4);Falda;1946.58;2527750.06;4151178.72;-0.24
Falda (4);Falda;1956.58;2527740.09;4151177.92;-0.24
Falda (4);Falda;1966.58;2527730.12;4151177.24;-0.24
Falda (4);Falda;1976.58;2527720.13;4151176.82;-0.24
Falda (4);Falda;1986.58;2527710.13;4151176.80;-0.24
Falda (4);Falda;1996.58;2527700.14;4151177.26;-0.24
Falda (4);Falda;2006.58;2527690.19;4151178.22;-0.24
Falda (4);Falda;2016.58;2527680.30;4151179.68;-0.23
Falda (4);Falda;2026.58;2527670.49;4151181.63;-0.21
Falda (4);Falda;2036.58;2527660.79;4151184.07;-0.18
Falda (4);Falda;2046.58;2527651.21;4151186.94;-0.16
Falda (4);Falda;2056.58;2527641.73;4151190.11;-0.13
Falda (4);Falda;2066.58;2527632.30;4151193.44;-0.11
Falda (4);Falda;2076.58;2527622.89;4151196.82;-0.07
Falda (4);Falda;2086.58;2527613.47;4151200.20;0.01
Falda (4);Falda;2096.58;2527604.06;4151203.57;0.09
Falda (4);Falda;2106.58;2527594.65;4151206.95;0.17
Falda (4);Falda;2116.58;2527585.24;4151210.33;0.25
Falda (4);Falda;2126.58;2527575.83;4151213.71;0.33
Falda (4);Falda;2136.58;2527566.41;4151217.09;0.41
Falda (4);Falda;2146.58;2527557.00;4151220.46;0.53
Falda (4);Falda;2156.58;2527547.59;4151223.84;0.67
Falda (4);Falda;2166.58;2527538.18;4151227.22;0.81
Falda (4);Falda;2176.58;2527528.77;4151230.60;0.94
Falda (4);Falda;2186.58;2527519.35;4151233.98;1.08
Falda (4);Falda;2196.58;2527509.94;4151237.35;1.22
Falda (4);Falda;2206.58;2527500.53;4151240.73;1.36
Falda (4);Falda;2216.58;2527491.12;4151244.11;1.50
Falda (4);Falda;2226.58;2527481.70;4151247.47;1.64
Falda (4);Falda;2236.58;2527472.24;4151250.73;1.77
Falda (4);Falda;2246.58;2527462.73;4151253.80;1.91
Falda (4);Falda;2256.58;2527453.13;4151256.60;2.05
Falda (4);Falda;2266.58;2527443.44;4151259.07;2.19
Falda (4);Falda;2276.58;2527433.67;4151261.23;2.33
Falda (4);Falda;2286.58;2527423.84;4151263.05;2.61
Falda (4);Falda;2296.58;2527413.96;4151264.55;2.92
Falda (4);Falda;2306.58;2527404.02;4151265.72;3.23
Falda (4);Falda;2316.58;2527394.06;4151266.56;3.53
Falda (4);Falda;2326.58;2527384.07;4151267.06;3.84
Falda (4);Falda;2336.58;2527374.08;4151267.23;4.15
Falda (4);Falda;2346.58;2527364.08;4151267.07;4.45
Falda (4);Falda;2356.58;2527354.09;4151266.57;4.76
Falda (4);Falda;2366.58;2527344.12;4151265.74;5.07
Falda (4);Falda;2376.58;2527334.19;4151264.58;5.37
Falda (4);Falda;2386.58;2527324.30;4151263.09;5.68
Falda (4);Falda;2396.58;2527314.47;4151261.28;5.99
Falda (4);Falda;2406.58;2527304.68;4151259.23;6.29
Falda (4);Falda;2416.58;2527294.93;4151257.01;6.60
Falda (4);Falda;2426.58;2527285.20;4151254.73;6.90
Falda (4);Falda;2436.58;2527275.46;4151252.45;7.21
Falda (4);Falda;2446.58;2527265.73;4151250.16;14.43
Falda (4);Falda;2456.58;2527255.99;4151247.88;33.29
Falda (4);Falda;2466.58;2527246.26;4151245.59;33.53
Falda (4);Falda;2476.58;2527236.52;4151243.30;33.78
Falda (4);Falda;2486.58;2527226.78;4151241.02;34.03
Falda (4);Falda;2496.58;2527217.05;4151238.73;34.27
Falda (4);Falda;2506.58;2527207.31;4151236.44;34.52
Falda (4);Falda;2516.58;2527197.58;4151234.16;34.76
Falda (4);Falda;2526.58;2527187.84;4151231.87;35.01
Falda (4);Falda;2536.58;2527178.11;4151229.59;35.22
Falda (4);Falda;2546.58;2527168.37;4151227.30;35.22
Falda (4);Falda;2556.58;2527158.64;4151225.01;35.22
Falda (4);Falda;2566.58;2527148.90;4151222.73;35.22
Falda (4);Falda;2576.58;2527139.17;4151220.44;35.22
Falda (4);Falda;2586.58;2527129.43;4151218.15;35.22
Falda (4);Falda;2596.58;2527119.70;4151215.87;35.22
Falda (4);Falda;2606.58;2527109.96;4151213.58;35.22
Falda (4);Falda;2616.58;2527100.23;4151211.30;35.22
Falda (4);Falda;2626.58;2527090.50;4151208.99;35.22
Falda (4);Falda;2636.58;2527080.79;4151206.57;35.21
Falda (4);Falda;2646.58;2527071.14;4151203.97;35.21
Falda (4);Falda;2656.58;2527061.56;4151201.08;35.21
Falda (4);Falda;2666.58;2527052.09;4151197.89;35.21
Falda (4);Falda;2676.58;2527042.73;4151194.37;35.21
Falda (4);Falda;2686.58;2527033.49;4151190.55;35.21
Falda (4);Falda;2696.58;2527024.38;4151186.42;35.21
Falda (4);Falda;2706.58;2527015.42;4151181.99;35.21
Falda (4);Falda;2716.58;2527006.61;4151177.26;35.21
Falda (4);Falda;2726.58;2526997.96;4151172.24;29.67
Falda (4);Falda;2736.58;2526989.48;4151166.94;29.70
Falda (4);Falda;2746.58;2526981.18;4151161.36;29.74
Falda (4);Falda;2756.58;2526973.08;4151155.50;29.78
Falda (4);Falda;2766.58;2526965.17;4151149.38;29.82
Falda (4);Falda;2776.58;2526957.47;4151143.00;29.86
Falda (4);Falda;2786.58;2526949.99;4151136.36;29.90
Falda (4);Falda;2796.58;2526942.74;4151129.48;29.93
Falda (4);Falda;2806.58;2526935.72;4151122.36;29.97
Falda (4);Falda;2816.58;2526928.94;4151115.01;30.01
Falda (4);Falda;2826.58;2526922.41;4151107.44;30.05
Falda (4);Falda;2836.58;2526916.13;4151099.65;30.09
Falda (4);Falda;2846.58;2526910.12;4151091.66;30.12
Falda (4);Falda;2856.58;2526904.34;4151083.50;30.16
Falda (4);Falda;2866.58;2526898.74;4151075.22;30.20
Falda (4);Falda;2876.58;2526893.23;4151066.87;30.24
Falda (4);Falda;2886.58;2526887.74;4151058.51;30.27
Falda (4);Falda;2896.58;2526882.25;4151050.15;30.30
Falda (4);Falda;2906.58;2526876.77;4151041.79;30.34
Falda (4);Falda;2916.58;2526871.28;4151033.43;30.37
Falda (4);Falda;2926.58;2526865.79;4151025.07;30.41
Falda (4);Falda;2936.58;2526860.31;4151016.71;30.44
Falda (4);Falda;2946.58;2526854.82;4151008.35;30.47
Falda (4);Falda;2956.58;2526849.34;4150999.99;30.51
Falda (4);Falda;2966.58;2526843.85;4150991.63;30.54
Falda (4);Falda;2976.58;2526838.36;4150983.27;30.58
Falda (4);Falda;2986.58;2526832.88;4150974.91;30.61
Falda (4);Falda;2996.58;2526827.39;4150966.55;30.64
Falda (4);Falda;3006.58;2526821.90;4150958.18;30.68
Falda (4);Falda;3016.58;2526816.42;4150949.82;30.71
Falda (4);Falda;3026.58;2526810.93;4150941.46;30.75
Falda (4);Falda;3036.58;2526805.44;4150933.10;30.78
Falda (4);Falda;3046.58;2526799.96;4150924.74;30.81
Falda (4);Falda;3056.58;2526794.47;4150916.38;30.85
Falda (4);Falda;3066.58;2526788.99;4150908.02;30.88
Falda (4);Falda;3076.58;2526783.50;4150899.66;30.91
Falda (4);Falda;3086.58;2526778.01;4150891.30;30.95
Falda (4);Falda;3096.58;2526772.53;4150882.94;30.97
Falda (4);Falda;3106.58;2526767.04;4150874.58;30.96
Falda (4);Falda;3116.58;2526761.55;4150866.22;30.95
Falda (4);Falda;3126.58;2526756.07;4150857.86;30.94
Falda (4);Falda;3136.58;2526750.58;4150849.50;30.92
Falda (4);Falda;3146.58;2526745.09;4150841.14;30.91
Falda (4);Falda;3156.58;2526739.61;4150832.78;30.90
Falda (4);Falda;3166.58;2526734.12;4150824.42;30.89
Falda (4);Falda;3176.58;2526728.63;4150816.05;30.88
Falda (4);Falda;3186.58;2526723.15;4150807.69;30.87
Falda (4);Falda;3196.58;2526717.66;4150799.33;30.86
Falda (4);Falda;3206.58;2526712.18;4150790.97;30.84
Falda (4);Falda;3216.58;2526706.69;4150782.61;30.80
Falda (4);Falda;3226.58;2526701.20;4150774.25;30.75
Falda (4);Falda;3236.58;2526695.72;4150765.89;30.70
Falda (4);Falda;3246.58;2526690.23;4150757.53;30.65
Falda (4);Falda;3256.58;2526684.74;4150749.17;30.59
Falda (4);Falda;3266.58;2526679.26;4150740.81;30.52
Falda (4);Falda;3276.58;2526673.77;4150732.45;30.46
Falda (4);Falda;3286.58;2526668.28;4150724.09;30.39
Falda (4);Falda;3296.58;2526662.80;4150715.73;30.31
Falda (4);Falda;3306.58;2526657.31;4150707.37;30.23
Falda (4);Falda;3316.58;2526651.81;4150699.02;30.15
Falda (4);Falda;3326.58;2526646.24;4150690.71;30.06
Falda (4);Falda;3336.58;2526640.55;4150682.49;29.97
Falda (4);Falda;3346.58;2526634.69;4150674.38;29.87
Falda (4);Falda;3356.58;2526628.68;4150666.40;29.77
Falda (4);Falda;3366.58;2526622.50;4150658.53;29.68
Falda (4);Falda;3376.58;2526616.17;4150650.79;29.58
Falda (4);Falda;3386.58;2526609.69;4150643.18;29.49
Falda (4);Falda;3396.58;2526603.05;4150635.70;29.40
Falda (4);Falda;3406.58;2526596.27;4150628.35;29.31
Falda (4);Falda;3416.58;2526589.34;4150621.14;29.22
Falda (4);Falda;3426.58;2526582.27;4150614.07;29.12
Falda (4);Falda;3436.58;2526575.05;4150607.14;29.03
Falda (4);Falda;3446.58;2526567.70;4150600.36;28.94
Falda (4);Falda;3456.58;2526560.22;4150593.73;28.85
Falda (4);Falda;3466.58;2526552.61;4150587.25;28.76
Falda (4);Falda;3476.58;2526544.86;4150580.92;28.66
Falda (4);Falda;3486.58;2526537.00;4150574.74;28.57
Falda (4);Falda;3496.58;2526529.01;4150568.73;28.48
Falda (4);Falda;3506.58;2526520.90;4150562.88;28.39
Falda (4);Falda;3516.58;2526512.69;4150557.17;28.29
Falda (4);Falda;3526.58;2526504.41;4150551.56;28.20
Falda (4);Falda;3536.58;2526496.11;4150545.99;28.11
Falda (4);Falda;3546.58;2526487.80;4150540.41;28.02
Falda (4);Falda;3556.58;2526479.50;4150534.84;27.92
Falda (4);Falda;3566.58;2526471.20;4150529.27;27.83
Falda (4);Falda;3576.58;2526462.89;4150523.70;27.74
Falda (4);Falda;3586.58;2526454.59;4150518.12;27.65
Falda (4);Falda;3596.58;2526446.29;4150512.55;27.55
Falda (4);Falda;3606.58;2526437.98;4150506.98;27.46
Falda (4);Falda;3616.58;2526429.68;4150501.41;27.37
Falda (4);Falda;3626.58;2526421.38;4150495.83;27.27
