ID;Descrizione;PK;x;y;z
progetto;progetto;1936.58;2527758.28;4151179.85;-2.67
progetto;progetto;1946.58;2527748.31;4151179.12;-2.69
progetto;progetto;1956.58;2527738.32;4151178.58;-2.71
progetto;progetto;1966.58;2527728.32;4151178.34;-2.73
progetto;progetto;1976.58;2527718.33;4151178.43;-2.75
progetto;progetto;1986.58;2527708.34;4151178.86;-2.77
progetto;progetto;1996.58;2527698.36;4151179.62;-2.79
progetto;progetto;2006.58;2527688.42;4151180.70;-2.81
progetto;progetto;2016.58;2527678.53;4151182.12;-2.82
progetto;progetto;2026.58;2527668.68;4151183.87;-2.80
progetto;progetto;2036.58;2527658.90;4151185.95;-2.74
progetto;progetto;2046.58;2527649.19;4151188.35;-2.68
progetto;progetto;2056.58;2527639.57;4151191.07;-2.61
progetto;progetto;2066.58;2527630.04;4151194.10;-2.55
progetto;progetto;2076.58;2527620.58;4151197.35;-2.48
progetto;progetto;2086.58;2527611.16;4151200.70;-2.42
progetto;progetto;2096.58;2527601.75;4151204.08;-2.35
progetto;progetto;2106.58;2527592.34;4151207.46;-2.26
progetto;progetto;2116.58;2527582.93;4151210.84;-2.11
progetto;progetto;2126.58;2527573.51;4151214.22;-1.91
progetto;progetto;2136.58;2527564.10;4151217.59;-1.67
progetto;progetto;2146.58;2527554.69;4151220.97;-1.37
progetto;progetto;2156.58;2527545.28;4151224.35;-1.03
progetto;progetto;2166.58;2527535.86;4151227.73;-0.65
progetto;progetto;2176.58;2527526.45;4151231.11;-0.25
progetto;progetto;2186.58;2527517.04;4151234.48;0.15
progetto;progetto;2196.58;2527507.63;4151237.86;0.55
progetto;progetto;2206.58;2527498.22;4151241.24;0.95
progetto;progetto;2216.58;2527488.80;4151244.62;1.35
progetto;progetto;2226.58;2527479.38;4151247.97;1.75
progetto;progetto;2236.58;2527469.93;4151251.22;2.15
progetto;progetto;2246.58;2527460.40;4151254.28;2.55
progetto;progetto;2256.58;2527450.80;4151257.06;2.95
progetto;progetto;2266.58;2527441.11;4151259.52;3.35
progetto;progetto;2276.58;2527431.34;4151261.65;3.75
progetto;progetto;2286.58;2527421.50;4151263.46;4.15
progetto;progetto;2296.58;2527411.61;4151264.94;4.55
progetto;progetto;2306.58;2527401.68;4151266.08;4.95
progetto;progetto;2316.58;2527391.71;4151266.90;5.35
progetto;progetto;2326.58;2527381.73;4151267.38;5.75
progetto;progetto;2336.58;2527371.73;4151267.54;6.15
progetto;progetto;2346.58;2527361.73;4151267.35;6.55
progetto;progetto;2356.58;2527351.74;4151266.84;6.95
progetto;progetto;2366.58;2527341.78;4151265.99;7.35
progetto;progetto;2376.58;2527331.85;4151264.81;7.75
progetto;progetto;2386.58;2527321.96;4151263.30;8.15
progetto;progetto;2396.58;2527312.13;4151261.47;8.55
progetto;progetto;2406.58;2527302.35;4151259.40;8.95
progetto;progetto;2416.58;2527292.60;4151257.18;9.35
progetto;progetto;2426.58;2527282.86;4151254.90;9.75
progetto;progetto;2436.58;2527273.13;4151252.62;10.15
progetto;progetto;2446.58;2527263.39;4151250.33;10.54
progetto;progetto;2456.58;2527253.66;4151248.04;10.89
progetto;progetto;2466.58;2527243.92;4151245.76;11.20
progetto;progetto;2476.58;2527234.19;4151243.47;11.45
progetto;progetto;2486.58;2527224.45;4151241.18;11.66
progetto;progetto;2496.58;2527214.72;4151238.90;11.81
progetto;progetto;2506.58;2527204.98;4151236.61;11.92
