code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17.55;17.55;19.1;19.1;36.37;36.37;11.84;11.84;-;-;-;-;0.407;0.407;0.3;17.55;19.1;36.37;11.84;0.407
Sbl;18.1;18.1;43.68;43.68;31.37;31.37;5.46;5.46;200;200;0.000001;0.000001;0.4794;0.4794;0.3;18.1;43.68;31.37;5.46;0.4794
Sb;19.55;19.55;60.94;60.94;35.65;35.65;2.73;2.73;200;200;0.000001;0.000001;0.4172;0.4172;0.3;19.55;60.94;35.65;2.73;0.4172
Agm;19.55;19.55;109.22;109.22;18.37;18.37;18.21;18.21;300;300;-;-;0.6848;0.6848;0.3;19.55;109.22;18.37;18.21;0.6848
Limi;18.82;18.82;28.21;28.21;30.55;30.55;5.46;5.46;300;300;0.000001;0.000001;0.4917;0.4917;0.3;18.82;28.21;30.55;5.46;0.4917
Al;19.55;19.55;50.18;50.18;38.55;38.55;1.37;1.37;-;-;0.000001;0.000001;0.3768;0.3768;0.3;19.55;50.18;38.55;1.37;0.3768
Bvlc;20.09;20.09;77.35;77.35;41.37;41.37;8.21;8.21;-;-;0.000001;0.000001;0.3391;0.3391;0.3;20.09;77.35;41.37;8.21;0.3391
La;23.1;23.1;5000;5000;50.77;50.77;254.59;254.59;-;-;0.00001;0.00001;0.2254;0.2254;0.3;23.1;5000;50.77;254.59;0.2254
Lbb;23.1;23.1;5000;5000;50.77;50.77;254.59;254.59;-;-;0.00001;0.00001;0.2254;0.2254;0.3;23.1;5000;50.77;254.59;0.2254
L1669;23.1;23.1;5000;5000;50.77;50.77;254.59;254.59;-;-;0.00001;0.00001;0.2254;0.2254;0.3;23.1;5000;50.77;254.59;0.2254
Sbv;19.09;19.09;50.94;50.94;33.37;33.37;2.73;2.73;-;-;0.000001;0.000001;0.4499;0.4499;0.3;19.09;50.94;33.37;2.73;0.4499
P;19.55;19.55;60.94;60.94;26.37;26.37;1.37;1.37;-;-;0.000001;0.000001;0.5558;0.5558;0.3;19.55;60.94;26.37;1.37;0.5558
