code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;18;18;22.5;22.5;37.5;37.5;17.5;17.5;-;-;0;0;0.391817977;0.391817977;0.3;18;22.5;37.5;17.5;0.391817977
Sbl;19;19;55;55;32.5;32.5;10;10;125;125;0.0000055;0.0000055;0.463211782;0.463211782;0.3;19;55;32.5;10;0.463211782
Sb;20;20;70;70;37;37;5;5;125;125;0.0000505;0.0000505;0.399009744;0.399009744;0.3;20;70;37;5;0.399009744
Agm;20;20;150;150;19.5;19.5;25;25;200;200;0;0;0.666510851;0.666510851;0.3;20;150;19.5;25;0.666510851
Limi;19.5;19.5;35;35;31;31;10;10;225;225;0.0000055;0.0000055;0.485040368;0.485040368;0.3;19.5;35;31;10;0.485040368
Al;20;20;75;75;39;39;2.5;2.5;-;-;0.0000055;0.0000055;0.370775458;0.370775458;0.3;20;75;39;2.5;0.370775458
Bvlc;21;21;100;100;42.5;42.5;15;15;-;-;0.0000055;0.0000055;0.325052805;0.325052805;0.3;21;100;42.5;15;0.325052805
La;24;24;5000;5000;55.5;55.5;300;300;-;-;0.000505;0.000505;0.189673881;0.189673881;0.3;24;5000;55.5;300;0.189673881
Lbb;24;24;5000;5000;55.5;55.5;300;300;-;-;0.000505;0.000505;0.189673881;0.189673881;0.3;24;5000;55.5;300;0.189673881
L1669;24;24;5000;5000;55.5;55.5;300;300;-;-;0.000505;0.000505;0.189673881;0.189673881;0.3;24;5000;55.5;300;0.189673881
Sbv;20;20;60;60;34.5;34.5;5;5;-;-;0.0000055;0.0000055;0.434132857;0.434132857;0.3;20;60;34.5;5;0.434132857
P;20;20;70;70;27.5;27.5;2.5;2.5;-;-;0.0000505;0.0000505;0.538690869;0.538690869;0.3;20;70;27.5;2.5;0.538690869
