code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;19;19;30;30;40;40;30;30;-;-;-;-;0.35721239;0.35721239;0.3;19;30;40;30;0.35721239
Sbl;21;21;80;80;35;35;20;20;200;200;0.000001;0.000001;0.426423564;0.426423564;0.3;21;80;35;20;0.426423564
Sb;21;21;90;90;40;40;10;10;200;200;0.000001;0.000001;0.35721239;0.35721239;0.3;21;90;40;10;0.35721239
Agm;21;21;240;240;22;22;40;40;300;300;-;-;0.625393407;0.625393407;0.3;21;240;22;40;0.625393407
Limi;21;21;50;50;32;32;20;20;300;300;0.000001;0.000001;0.470080736;0.470080736;0.3;21;50;32;20;0.470080736
Al;21;21;130;130;40;40;5;5;-;-;0.000001;0.000001;0.35721239;0.35721239;0.3;21;130;40;5;0.35721239
Bvlc;23;23;150;150;45;45;30;30;-;-;0.000001;0.000001;0.292893219;0.292893219;0.3;23;150;45;30;0.292893219
La;26;26;5000;5000;66;66;400;400;-;-;0.00001;0.00001;0.086454542;0.086454542;0.3;26;5000;66;400;0.086454542
Lbb;26;26;5000;5000;66;66;400;400;-;-;0.00001;0.00001;0.086454542;0.086454542;0.3;26;5000;66;400;0.086454542
L1669;26;26;5000;5000;66;66;400;400;-;-;0.00001;0.00001;0.086454542;0.086454542;0.3;26;5000;66;400;0.086454542
Sbv;22;22;80;80;37;37;10;10;-;-;0.000001;0.000001;0.398184977;0.398184977;0.3;22;80;37;10;0.398184977
P;21;21;90;90;30;30;5;5;-;-;0.000001;0.000001;0.5;0.5;0.3;21;90;30;5;0.5
