code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17;17;15;15;35;35;5;5;-;-;-;-;0.426423564;0.426423564;0.3;17;15;35;5;0.426423564
Sbl;17;17;30;30;30;30;1;1;50;50;0.00001;0.00001;0.5;0.5;0.3;17;30;30;1;0.5
Sb;19;19;50;50;34;34;1;1;50;50;0.0001;0.0001;0.440807097;0.440807097;0.3;19;50;34;1;0.440807097
Agm;19;19;60;60;17;17;10;10;100;100;-;-;0.707628295;0.707628295;0.3;19;60;17;10;0.707628295
Limi;18;18;20;20;30;30;1;1;150;150;0.00001;0.00001;0.5;0.5;0.3;18;20;30;1;0.5
Al;19;19;20;20;38;38;1;1;-;-;0.00001;0.00001;0.384338525;0.384338525;0.3;19;20;38;1;0.384338525
Bvlc;19;19;50;50;40;40;1;1;-;-;0.00001;0.00001;0.35721239;0.35721239;0.3;19;50;40;1;0.35721239
La;22;22;5000;5000;45;45;200;200;-;-;0.001;0.001;0.292893219;0.292893219;0.3;22;5000;45;200;0.292893219
Lbb;22;22;5000;5000;45;45;200;200;-;-;0.001;0.001;0.292893219;0.292893219;0.3;22;5000;45;200;0.292893219
L1669;22;22;5000;5000;45;45;200;200;-;-;0.001;0.001;0.292893219;0.292893219;0.3;22;5000;45;200;0.292893219
Sbv;18;18;40;40;32;32;1;1;-;-;0.00001;0.00001;0.470080736;0.470080736;0.3;18;40;32;1;0.470080736
P;19;19;50;50;25;25;1;1;-;-;0.0001;0.0001;0.577381738;0.577381738;0.3;19;50;25;1;0.577381738
