code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17;19;15;30;35;40;5;30;-;-;-;-;0.426423564;0.35721239;0.3;19;30;40;30;0.35721239
Sbl;17;21;30;80;30;35;0;20;50;200;0.00001;0.000001;0.5;0.426423564;0.3;21;80;35;20;0.426423564
Sb;19;21;50;90;34;40;0;10;50;200;0.0001;0.000001;0.440807097;0.35721239;0.3;21;90;40;10;0.35721239
Agm;19;21;60;240;17;22;10;40;100;300;-;-;0.707628295;0.625393407;0.3;21;240;22;40;0.625393407
Limi;18;21;20;50;30;32;0;20;150;300;0.00001;0.000001;0.5;0.470080736;0.3;21;50;32;20;0.470080736
Al;19;21;20;130;38;40;0;5;-;-;0.00001;0.000001;0.384338525;0.35721239;0.3;21;130;40;5;0.35721239
Bvlc;19;23;50;150;40;45;0;30;-;-;0.00001;0.000001;0.35721239;0.292893219;0.3;23;150;45;30;0.292893219
La;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;26;5000;66;400;0.086454542
Lbb;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;26;5000;66;400;0.086454542
L1669;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;26;5000;66;400;0.086454542
Sbv;18;22;40;80;32;37;0;10;-;-;0.00001;0.000001;0.470080736;0.398184977;0.3;22;80;37;10;0.398184977
P;19;21;50;90;25;30;0;5;-;-;0.0001;0.000001;0.577381738;0.5;0.3;21;90;30;5;0.5
