project_code;code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
MDW029_S_E_05;Rp;17;19;15;30;35;40;5;30;-;-;-;-;0.426423564;0.35721239;0.3;17;15;35;5;0.426423564
MDW029_S_E_05;Sbl;17;21;30;80;30;35;1;20;50;200;0.00001;0.000001;0.5;0.426423564;0.3;17;30;30;1;0.5
MDW029_S_E_05;Sb;19;21;50;90;34;40;1;10;50;200;0.0001;0.000001;0.440807097;0.35721239;0.3;19;50;34;1;0.440807097
MDW029_S_E_05;Agm;19;21;60;240;17;22;10;40;100;300;-;-;0.707628295;0.625393407;0.3;19;60;17;10;0.707628295
MDW029_S_E_05;Limi;18;21;20;50;30;32;1;20;150;300;0.00001;0.000001;0.5;0.470080736;0.3;18;20;30;1;0.5
MDW029_S_E_05;Al;19;21;20;130;38;40;1;5;-;-;0.00001;0.000001;0.384338525;0.35721239;0.3;19;20;38;1;0.384338525
MDW029_S_E_05;Bvlc;19;23;50;150;40;45;1;30;-;-;0.00001;0.000001;0.35721239;0.292893219;0.3;19;50;40;1;0.35721239
MDW029_S_E_05;La;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;22;5000;45;200;0.292893219
MDW029_S_E_05;Lbb;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;22;5000;45;200;0.292893219
MDW029_S_E_05;L1669;22;26;5000;5000;45;66;200;400;-;-;0.001;0.00001;0.292893219;0.086454542;0.3;22;5000;45;200;0.292893219
MDW029_S_E_05;Sbv;18;22;40;80;32;37;1;10;-;-;0.00001;0.000001;0.470080736;0.398184977;0.3;18;40;32;1;0.470080736
MDW029_S_E_05;P;19;21;50;90;25;30;1;5;-;-;0.0001;0.000001;0.577381738;0.5;0.3;19;50;25;1;0.577381738
