ID;Descrizione;PK;Excavation Radius;Lining Internal Radius;Lining Thickness;Lining Offset
Profilo Progetto;Sezione Base;1936.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1946.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1956.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1966.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1976.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1986.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;1996.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2006.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2016.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2026.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2036.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2046.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2056.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2066.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2076.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2086.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2096.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2106.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2116.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2126.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2136.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2146.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2156.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2166.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2176.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2186.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2196.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2206.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2216.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2226.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2236.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2246.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2256.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2266.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2276.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2286.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2296.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2306.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2316.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2326.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2336.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2346.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2356.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2366.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2376.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2386.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2396.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2406.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2416.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2426.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2436.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2446.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2456.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2466.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2476.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2486.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2496.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2506.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2516.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2526.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2536.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2546.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2556.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2566.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2576.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2586.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2596.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2606.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2616.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2626.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2636.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2646.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2656.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2666.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2676.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2686.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2696.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2706.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2716.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2726.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2736.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2746.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2756.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2766.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2776.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2786.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2796.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2806.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2816.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2826.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2836.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2846.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2856.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2866.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2876.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2886.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2896.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2906.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2916.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2926.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2936.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2946.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2956.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2966.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2976.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2986.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2996.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3006.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3016.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3026.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3036.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3046.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3056.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3066.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3076.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3086.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3096.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3106.58;5.3;4.8;0.32;2.8
