ID;Descrizione;PK;x;y;top;base
DEM;DEM;1936.58;2527760.03;4151179.54;14.44;14.44
Rp (6);Rp;1936.58;2527760.03;4151179.54;14.44;12.70
La (1);La;1936.58;2527760.03;4151179.54;12.70;-2.93
La (2);La;1936.58;2527760.03;4151179.54;-2.93;-2.93
La (3);La;1936.58;2527760.03;4151179.54;-2.93;-2.93
Bvlc (19);Bvlc;1936.58;2527760.03;4151179.54;-2.93;-7.12
Sbl (19);Sbl;1936.58;2527760.03;4151179.54;-7.12;-16.08
DEM;DEM;1946.58;2527750.06;4151178.72;14.36;14.36
Rp (6);Rp;1946.58;2527750.06;4151178.72;14.36;12.76
La (1);La;1946.58;2527750.06;4151178.72;12.76;-3.19
La (2);La;1946.58;2527750.06;4151178.72;-3.19;-3.19
La (3);La;1946.58;2527750.06;4151178.72;-3.19;-3.19
Bvlc (19);Bvlc;1946.58;2527750.06;4151178.72;-3.19;-6.96
Sbl (19);Sbl;1946.58;2527750.06;4151178.72;-6.96;-16.23
DEM;DEM;1956.58;2527740.09;4151177.92;14.35;14.35
Rp (6);Rp;1956.58;2527740.09;4151177.92;14.35;12.82
La (1);La;1956.58;2527740.09;4151177.92;12.82;-3.44
La (2);La;1956.58;2527740.09;4151177.92;-3.44;-3.44
La (3);La;1956.58;2527740.09;4151177.92;-3.44;-3.44
Bvlc (19);Bvlc;1956.58;2527740.09;4151177.92;-3.44;-6.79
Sbl (19);Sbl;1956.58;2527740.09;4151177.92;-6.79;-16.38
DEM;DEM;1966.58;2527730.12;4151177.24;14.34;14.34
Rp (6);Rp;1966.58;2527730.12;4151177.24;14.34;12.89
La (1);La;1966.58;2527730.12;4151177.24;12.89;-3.69
La (2);La;1966.58;2527730.12;4151177.24;-3.69;-3.69
La (3);La;1966.58;2527730.12;4151177.24;-3.69;-3.69
Bvlc (19);Bvlc;1966.58;2527730.12;4151177.24;-3.69;-6.63
Sbl (19);Sbl;1966.58;2527730.12;4151177.24;-6.63;-16.52
DEM;DEM;1976.58;2527720.13;4151176.82;14.33;14.33
Rp (6);Rp;1976.58;2527720.13;4151176.82;14.33;12.96
La (1);La;1976.58;2527720.13;4151176.82;12.96;-3.91
La (2);La;1976.58;2527720.13;4151176.82;-3.91;-3.91
La (3);La;1976.58;2527720.13;4151176.82;-3.91;-3.91
Bvlc (19);Bvlc;1976.58;2527720.13;4151176.82;-3.91;-6.49
Sbl (17);Sbl;1976.58;2527720.13;4151176.82;-6.49;-15.04
Sb (9);Sb;1976.58;2527720.13;4151176.82;-15.04;-15.41
Sbl (19);Sbl;1976.58;2527720.13;4151176.82;-15.41;-16.67
DEM;DEM;1986.58;2527710.13;4151176.80;14.33;14.33
Rp (6);Rp;1986.58;2527710.13;4151176.80;14.33;13.03
La (1);La;1986.58;2527710.13;4151176.80;13.03;-4.09
La (2);La;1986.58;2527710.13;4151176.80;-4.09;-4.09
La (3);La;1986.58;2527710.13;4151176.80;-4.09;-4.09
Bvlc (19);Bvlc;1986.58;2527710.13;4151176.80;-4.09;-6.43
Sbl (17);Sbl;1986.58;2527710.13;4151176.80;-6.43;-14.80
Sb (9);Sb;1986.58;2527710.13;4151176.80;-14.80;-15.34
Sbl (19);Sbl;1986.58;2527710.13;4151176.80;-15.34;-16.82
DEM;DEM;1996.58;2527700.14;4151177.26;14.33;14.33
Rp (6);Rp;1996.58;2527700.14;4151177.26;14.33;13.09
La (1);La;1996.58;2527700.14;4151177.26;13.09;-4.21
La (2);La;1996.58;2527700.14;4151177.26;-4.21;-4.21
La (3);La;1996.58;2527700.14;4151177.26;-4.21;-4.21
Bvlc (19);Bvlc;1996.58;2527700.14;4151177.26;-4.21;-6.51
Sbl (17);Sbl;1996.58;2527700.14;4151177.26;-6.51;-14.73
Sb (9);Sb;1996.58;2527700.14;4151177.26;-14.73;-15.28
Sbl (19);Sbl;1996.58;2527700.14;4151177.26;-15.28;-16.96
DEM;DEM;2006.58;2527690.19;4151178.22;14.32;14.32
Rp (6);Rp;2006.58;2527690.19;4151178.22;14.32;13.14
La (1);La;2006.58;2527690.19;4151178.22;13.14;-4.30
La (2);La;2006.58;2527690.19;4151178.22;-4.30;-4.30
La (3);La;2006.58;2527690.19;4151178.22;-4.30;-4.30
Bvlc (19);Bvlc;2006.58;2527690.19;4151178.22;-4.30;-6.76
Sbl (17);Sbl;2006.58;2527690.19;4151178.22;-6.76;-14.69
Sb (9);Sb;2006.58;2527690.19;4151178.22;-14.69;-15.21
Sbl (19);Sbl;2006.58;2527690.19;4151178.22;-15.21;-17.09
DEM;DEM;2016.58;2527680.30;4151179.68;14.25;14.25
Rp (6);Rp;2016.58;2527680.30;4151179.68;14.25;13.18
La (1);La;2016.58;2527680.30;4151179.68;13.18;-4.38
La (2);La;2016.58;2527680.30;4151179.68;-4.38;-4.38
La (3);La;2016.58;2527680.30;4151179.68;-4.38;-4.38
Sbl;Sbl;2016.58;2527680.30;4151179.68;-4.38;-4.71
Bvlc (19);Bvlc;2016.58;2527680.30;4151179.68;-4.71;-7.10
Sbl (17);Sbl;2016.58;2527680.30;4151179.68;-7.10;-14.61
Sb (9);Sb;2016.58;2527680.30;4151179.68;-14.61;-15.15
Sbl (19);Sbl;2016.58;2527680.30;4151179.68;-15.15;-17.22
DEM;DEM;2026.58;2527670.49;4151181.63;14.11;14.11
Rp (6);Rp;2026.58;2527670.49;4151181.63;14.11;13.22
La (1);La;2026.58;2527670.49;4151181.63;13.22;-4.43
La (2);La;2026.58;2527670.49;4151181.63;-4.43;-4.43
La (3);La;2026.58;2527670.49;4151181.63;-4.43;-4.43
Sbl;Sbl;2026.58;2527670.49;4151181.63;-4.43;-5.27
Bvlc (19);Bvlc;2026.58;2527670.49;4151181.63;-5.27;-7.38
Sbl (17);Sbl;2026.58;2527670.49;4151181.63;-7.38;-14.49
Sb (9);Sb;2026.58;2527670.49;4151181.63;-14.49;-15.08
Sbl (19);Sbl;2026.58;2527670.49;4151181.63;-15.08;-17.34
DEM;DEM;2036.58;2527660.79;4151184.07;13.97;13.97
Rp (6);Rp;2036.58;2527660.79;4151184.07;13.97;13.27
sBV;sBV;2036.58;2527660.79;4151184.07;13.27;13.20
La (1);La;2036.58;2527660.79;4151184.07;13.20;-4.44
La (2);La;2036.58;2527660.79;4151184.07;-4.44;-4.44
La (3);La;2036.58;2527660.79;4151184.07;-4.44;-4.44
Sbl;Sbl;2036.58;2527660.79;4151184.07;-4.44;-5.81
Bvlc (19);Bvlc;2036.58;2527660.79;4151184.07;-5.81;-7.50
Sbl (17);Sbl;2036.58;2527660.79;4151184.07;-7.50;-14.34
Sb (9);Sb;2036.58;2527660.79;4151184.07;-14.34;-15.01
Sbl (19);Sbl;2036.58;2527660.79;4151184.07;-15.01;-17.46
DEM;DEM;2046.58;2527651.21;4151186.94;14.05;14.05
Rp (6);Rp;2046.58;2527651.21;4151186.94;14.05;13.33
sBV;sBV;2046.58;2527651.21;4151186.94;13.33;13.08
La (1);La;2046.58;2527651.21;4151186.94;13.08;-4.35
La (2);La;2046.58;2527651.21;4151186.94;-4.35;-4.35
La (3);La;2046.58;2527651.21;4151186.94;-4.35;-4.35
Sbl;Sbl;2046.58;2527651.21;4151186.94;-4.35;-6.29
Bvlc (19);Bvlc;2046.58;2527651.21;4151186.94;-6.29;-7.47
Sbl (17);Sbl;2046.58;2527651.21;4151186.94;-7.47;-14.17
Sb (9);Sb;2046.58;2527651.21;4151186.94;-14.17;-14.94
Sbl (19);Sbl;2046.58;2527651.21;4151186.94;-14.94;-17.56
DEM;DEM;2056.58;2527641.73;4151190.11;14.22;14.22
Rp (6);Rp;2056.58;2527641.73;4151190.11;14.22;13.40
sBV;sBV;2056.58;2527641.73;4151190.11;13.40;12.94
La (1);La;2056.58;2527641.73;4151190.11;12.94;-4.14
La (2);La;2056.58;2527641.73;4151190.11;-4.14;-4.14
La (3);La;2056.58;2527641.73;4151190.11;-4.14;-4.14
Sbl;Sbl;2056.58;2527641.73;4151190.11;-4.14;-6.65
Bvlc (19);Bvlc;2056.58;2527641.73;4151190.11;-6.65;-7.32
Sbl (17);Sbl;2056.58;2527641.73;4151190.11;-7.32;-13.98
Sb (9);Sb;2056.58;2527641.73;4151190.11;-13.98;-14.88
Sbl (19);Sbl;2056.58;2527641.73;4151190.11;-14.88;-17.65
DEM;DEM;2066.58;2527632.30;4151193.44;14.39;14.39
Rp (6);Rp;2066.58;2527632.30;4151193.44;14.39;13.46
sBV;sBV;2066.58;2527632.30;4151193.44;13.46;12.78
La (1);La;2066.58;2527632.30;4151193.44;12.78;-3.76
La (2);La;2066.58;2527632.30;4151193.44;-3.76;-3.76
La (3);La;2066.58;2527632.30;4151193.44;-3.76;-3.76
Sbl;Sbl;2066.58;2527632.30;4151193.44;-3.76;-6.86
Bvlc (19);Bvlc;2066.58;2527632.30;4151193.44;-6.86;-7.09
Sbl (17);Sbl;2066.58;2527632.30;4151193.44;-7.09;-13.79
Sb (9);Sb;2066.58;2527632.30;4151193.44;-13.79;-14.81
Sbl (19);Sbl;2066.58;2527632.30;4151193.44;-14.81;-17.73
DEM;DEM;2076.58;2527622.89;4151196.82;14.57;14.57
Rp (6);Rp;2076.58;2527622.89;4151196.82;14.57;13.48
sBV;sBV;2076.58;2527622.89;4151196.82;13.48;12.60
