ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;1936.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1946.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1956.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1966.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1976.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1986.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;1996.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2006.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2016.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2026.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2036.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2046.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2056.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2066.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2076.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2086.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2096.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2106.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2116.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2126.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2136.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2146.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2156.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2166.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2176.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2186.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2196.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2206.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2216.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2226.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2236.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2246.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2256.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2266.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2276.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2286.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2296.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2306.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2316.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2326.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2336.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2346.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2356.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2366.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2376.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2386.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2396.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2406.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2416.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2426.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2436.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2446.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2456.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2466.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2476.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
