Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
3;1959.655119;2020.006026;8.378442911;26.00257832;1.0;1.0;1.0;0.599853584412;0.0808751184951;0.0242333582737;0.000193186275092;170.0;268.64;0.34216741667;1.0;1.0;0.599853584412;0.0808751184951;0.0242333582737
3B;2047.231977;2051.243633;-14.41332105;-8.209444831;1.0;1.0;1.0;0.511301885174;0.0658708846535;0.0230248591123;0.000163269161334;170.0;269.32;0.341776917745;1.0;1.0;0.511301885174;0.0658708846535;0.0230248591123
4;2075.239242;2114.69016;0.472543929;82.3614523;1.0;3.0;3.0;33.1746743888;2.5619794644;1.72711669276;0.0059701742485;210.0;276.26;0.422135374789;3.0;3.0;40.2549690498;3.1087691423;2.09572604083
5;2094.939778;2202.957415;-42.92120905;52.72494115;1.0;3.0;3.0;27.2998196388;2.0675180029;1.63542832994;0.00504631504225;210.0;276.26;0.422135374789;3.0;3.0;29.2522777723;2.21538499962;1.75239266842
6;2214.176657;2277.239051;-24.01897025;35.22701063;1.0;2.2;2.0;21.7547680523;1.6142573857;1.37339376652;0.00515952238411;210.0;382.48;0.41089893903;2.2;2.0;21.7547680523;1.6142573857;1.37339376652
6A;2226.551015;2248.845573;-29.13311411;-11.26298746;1.0;1.0;1.0;6.85004568907;1.05933787422;0.346036340565;0.00382310194377;210.0;382.11;0.407292642318;1.0;1.0;6.9276223025;1.07133485183;0.346036340565
6B;2241.053246;2274.130957;-23.68012692;19.21080645;1.0;2.2;2.0;19.6057183805;1.48079381886;1.25320814972;0.00409382300388;230.0;382.48;0.400384949713;2.2;2.0;20.1136399842;1.51915646167;1.28567477404
7;2202.338692;2312.918511;-88.96575928;-18.0019502;1.0;1.0;1.0;4.25592768668;0.653343977921;0.306812796117;0.00544856640083;230.0;468.97;0.413055640097;1.0;1.0;4.25592768668;0.653343977921;0.306812796117
8;2285.125371;2334.894932;-23.85132813;81.29393906;1.0;2.1;1.0;24.8115059664;1.48389898444;1.14870263328;0.00613097777871;200.0;474.17;0.392617046632;2.2;2.0;26.5930296273;1.59044637236;1.23118214594
9;2321.232671;2391.632545;-37.48217932;63.16325023;1.0;2.1;1.0;22.7634270801;1.35365875072;1.15665564416;0.00570816660567;200.0;474.17;0.392617046632;2.2;2.0;24.3798365366;1.44978078005;1.23878866897
10;2397.904921;2464.749442;-48.40551509;-3.667053938;1.0;1.0;1.0;7.21921690786;0.414978842578;0.218173450984;0.00210388207971;290.0;434.25;0.375797912228;1.0;1.0;7.21921690786;0.414978842578;0.218173450984
10A;2437.412128;2464.628441;-36.94836068;-17.63358044;1.0;1.0;1.0;1.08352152508;0.151804164224;0.0603897701168;0.00109554048217;290.0;403.5;0.360066254056;1.0;1.0;1.08352152508;0.151804164224;0.0603897701168
11;2473.630141;2521.478347;-43.06179371;-3.902351124;1.0;1.0;1.0;3.41056164485;0.202483570419;0.107940629293;0.000965612659262;300.0;381.15;0.360066254056;1.0;1.0;3.41056164485;0.202483570419;0.107940629293
11A;2521.410271;2538.406312;-37.26761791;-5.348753506;1.0;1.0;1.0;3.99726759948;0.256629090181;0.10668045591;0.00119762220558;300.0;382.28;0.36181444583;1.0;1.0;3.99726759948;0.256629090181;0.10668045591
