Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
3;1959.655119;2020.006026;8.378442911;26.00257832;1.0;1.0;1.0;0.532668432017;0.0733947683038;0.0219475030274;0.00017369098244;170.0;251.92;0.374196220371;1.0;1.0;0.532668432017;0.0733947683038;0.0219475030274
3B;2047.231977;2051.243633;-14.41332105;-8.209444831;1.0;1.0;1.0;0.451712368765;0.0585554239671;0.0202495523283;0.0001464086168;170.0;255.26;0.376653295872;1.0;1.0;0.451712368765;0.0585554239671;0.0202495523283
4;2075.239242;2114.69016;0.472543929;82.3614523;1.0;3.0;3.0;48.3411764302;3.75289857855;2.51661890437;0.00869971265091;190.0;258.84;0.431380616698;3.0;3.0;59.0035727379;4.58065857329;3.07169824036
5;2094.939778;2202.957415;-42.92120905;52.72494115;1.0;3.0;3.0;31.3971349676;2.39056416663;1.88088273982;0.0058036955345;190.0;258.84;0.431380616698;3.0;3.0;33.2967328335;2.53519871987;1.99468041092
6;2214.176657;2277.239051;-24.01897025;35.22701063;1.0;2.2;2.0;24.8423341903;1.66368489045;1.40819333354;0.00589179271658;200.0;356.63;0.42342314404;2.2;2.0;28.6880332703;1.78169214011;1.43736183935
6A;2226.551015;2248.845573;-29.13311411;-11.26298746;1.0;1.0;1.0;6.71879438385;1.04988210728;0.375732842375;0.003784134703;200.0;356.43;0.417755882801;1.0;1.0;6.81887737437;1.06552112448;0.382346527438
6B;2241.053246;2274.130957;-23.68012692;19.21080645;1.0;2.2;2.0;19.4766832448;1.47887502644;1.24496015054;0.00390870583086;210.0;356.63;0.411021988952;2.2;2.0;19.9789277818;1.51701072406;1.27706389359
7;2202.338692;2312.918511;-88.96575928;-18.0019502;1.0;1.0;1.0;11.3349337936;1.40697017142;0.466836597688;0.0116946449641;210.0;432.67;0.424909080772;1.0;1.0;11.3349337936;1.40697017142;0.466836597688
8;2285.125371;2334.894932;-23.85132813;81.29393906;1.0;2.1;1.0;29.0493959386;1.53239925223;1.17832635629;0.00880713766197;220.0;437.71;0.403470824097;3.0;3.0;42.5996922778;2.56488134346;1.9722453423
9;2321.232671;2391.632545;-37.48217932;63.16325023;1.0;2.1;1.0;24.1010424618;1.27706397691;1.08386374772;0.00740637496519;220.0;437.71;0.403470824097;3.0;3.0;36.6129953146;2.19199504022;1.86037974779
