Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
3;1959.655119;2020.006026;8.378442911;26.00257832;1.0;1.0;1.0;0.504720766102;0.0712485507714;0.021256794423;0.000166922946953;170.0;235.2;0.405343348271;1.0;1.0;0.504720766102;0.0712485507714;0.021256794423
3B;2047.231977;2051.243633;-14.41332105;-8.209444831;1.0;1.0;1.0;0.404593839554;0.0538116847261;0.0185452478656;0.000132965607699;170.0;237.91;0.406912505751;1.0;1.0;0.404593839554;0.0538116847261;0.0185452478656
4;2075.239242;2114.69016;0.472543929;82.3614523;1.0;3.0;3.0;2978.75331248;232.509544552;155.066963933;0.536080419692;180.0;241.42;0.440577670037;3.0;3.0;4072.92183354;317.915953814;212.026830291
5;2094.939778;2202.957415;-42.92120905;52.72494115;1.0;3.0;3.0;41.9207120465;3.20960100123;2.51130992209;0.00774895736839;190.0;241.42;0.440577670037;3.0;3.0;44.1820020383;3.38273352373;2.64677517819
6;2214.176657;2277.239051;-24.01897025;35.22701063;1.0;2.2;2.0;20.847425736;1.75997956624;1.5631512753;0.00405531076581;240.0;330.78;0.434877776701;3.0;3.0;1699.74353452;104.970990472;71.9960668558
6A;2226.551015;2248.845573;-29.13311411;-11.26298746;1.0;1.0;1.0;6.58136269711;1.03960509058;0.375427263567;0.00374247618561;210.0;330.75;0.428136648358;1.0;1.0;6.71344879282;1.06046967195;0.381787791395
6B;2241.053246;2274.130957;-23.68012692;19.21080645;1.0;2.2;2.0;19.3224496291;1.47530192911;1.23510145072;0.00380121711012;240.0;330.78;0.421583571793;3.0;3.0;94.213374295;5.8562241567;4.14263198237
7;2202.338692;2312.918511;-88.96575928;-18.0019502;1.0;3.0;3.0;28.7899057545;3.63302572486;1.2156885863;0.030262768629;300.0;396.37;0.436625040062;3.0;3.0;975.720216988;135.710345432;51.581843668
8;2285.125371;2334.894932;-23.85132813;81.29393906;1.0;2.1;1.0;27.0686103625;1.40751885396;1.05810087652;0.00802445996443;300.0;401.25;0.414301225372;3.0;3.0;3857.21761037;221.679418944;168.156401865
9;2321.232671;2391.632545;-37.48217932;63.16325023;1.0;2.1;1.0;26.4702664725;1.42060607581;1.17071436667;0.00760943666396;300.0;401.25;0.414301225372;3.0;3.0;2810.23947365;160.678722089;133.754846262
10;2397.904921;2464.749442;-48.40551509;-3.667053938;1.0;1.0;1.0;22.6647123911;1.3709057667;0.700037601307;0.00639670149651;290.0;373.91;0.40258478059;3.0;3.0;171.37530163;10.0346270985;5.15925167259
