shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122526.29;2122555.748;-63.76000127;-39.52196753
1.ring1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122536.125;2122546.311;-56.74640607;-47.86117741
2;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;0;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;7;NULL;2123537.131;2123609.03;4.533371466;61.72696637
2.ring1;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;0;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;7;NULL;2123569.86;2123585.455;25.59294287;40.09141621
3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123557.853;2123729.83;-211.7332705;-8.714370252
3.ring1;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123675.993;2123682.203;-123.8216896;-114.0127125
3.ring2;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123642.402;2123648.098;-148.6606601;-139.609407
3.ring3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123599.332;2123605.451;-155.4564759;-146.2898435
4;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123934.354;2123988.482;-21.53163599;34.059595
4.ring1;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123943.08;2123958.605;5.328427465;24.71311443
5;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;0;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2126888.712;2126918.447;-20.50407994;-0.175531719
5.ring1;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;0;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;2126897.026;2126914.869;-16.13270622;-7.759343858
6;94081CM0115_02_SEN_ind01.pdf;94081CM0115;2;1;38;1;37;4;34;33;D > 50m;<30;1;1;1;0;110 X 11;10;NULL;2127168.485;2127268.815;10.98274585;103.1298504
6.ring1;94081CM0115_02_SEN_ind01.pdf;94081CM0115;2;1;38;1;37;4;34;33;D > 50m;<30;1;1;1;0;110 X 11;10;NULL;2127226.147;2127243.135;35.10381471;51.2407518
7;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128207.253;2128328.622;-99.82749287;-8.400722846
7.ring1;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128258.054;2128272.251;-75.48195019;-61.13048644
7.ring2;94081BP0093_04_SEN_ind01.pdf;94081BP0093;4;1;48;30;18;0;48;18;D > 50 m;<30;0;2;0;0;35 X 35;12;NULL;2128272.625;2128288.837;-69.57255506;-57.68693775
8;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123276.745;2123360.595;-45.54718301;48.19941814
8.ring1;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123312.183;2123329.803;-18.00205912;3.248960052
8.ring2;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123288.311;2123301.597;-24.88555849;-11.68936958
8.ring3;94028BE0518_05_SEN_ind01.pdf;94028BE0518;5;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;1;0;0;44 X 44;6;NULL;2123313.789;2123327.175;23.02516322;36.33731662
9;94028BE0644_01_SEN_ind01.pdf;94028BE0644;1;3;35;15;20;4;31;16;20m < D <= 30m;entre 60 et 90;1;0;0;0;43 X 42;11;NULL;2123474.983;2123501.052;-77.3114483;-37.10979396
9.ring1;94028BE0644_01_SEN_ind01.pdf;94028BE0644;1;3;35;15;20;4;31;16;20m < D <= 30m;entre 60 et 90;1;0;0;0;43 X 42;11;NULL;2123486.83;2123490.45;-63.8003144;-59.55801313
10;94076AZ0181_01_SEN_ind01.pdf;94076AZ0181;1;2;99;75;24;0;99;24;10m < D <= 20m;entre 60 et 90;0;1;0;0;50 X 35;4;Parking voitures arien;2129954.583;2129992.963;-68.69465628;-16.55454457
11;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;0;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;7;ND15;2124267.589;2124438.2;-74.15786465;89.88480288
11.ring1;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;0;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;7;ND15;2124381.026;2124409.018;38.67383976;80.16721615
11.ring2;94046BI0001_03_SEN_ind02.pdf;94046BI0001;3;2;NULL;ND2;ND3;0;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;7;ND15;2124285.425;2124309.259;31.81313516;71.95346584
12;94002AF0134_01_SEN_ind01.pdf;94002AF0134;1;1;35;5;30;1;34;29;0m < D <= 10m;<30;1;0;0;NULL;14 X 4;4;Sous-sol semi-enterr;2124722.891;2124736.14;26.04962145;31.43021092
13;94002AE0099_01_SEN_ind01.pdf;94002AE0099;1;1;35;5;30;0;NULL;non dtermin;10m < D <= 20m;entre 60 et 90;Non dtermin;1;1;NULL;10 X 10;7;NULL;2124835.626;2124845.632;-14.70934707;-4.711241073
14;94002AJ0062_01_SEN_ind01.pdf;94002AJ0062;1;1;35;5;30;4;31;26;30m < D <= 40m;entre 60 et 90;1;5;NULL;2;45 X 30;20;NULL;2125154.74;2125171.023;-62.51024637;-46.47638194
15;94002AF0031_01_SEN_ind01.pdf;94002AF0031;1;1;35;5;30;3;32;27;0m < D <= 10m;<30;1;1;NULL;NULL;16 X 5;7;NULL;2124720.734;2124736.88;29.45861697;36.23382379
16;94002AF0057_01_SEN_ind01.pdf;94002AF0057;1;1;35;5;30;0;NULL;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;2;NULL;0;10 X 7;9;NULL;2124576.072;2124585.999;-26.9383799;-12.82415367
17;94002AE0174_01_SEN_ind01.pdf;94002AE0174;1;1;35;5;30;0;35;30;30m < D <= 40m;entre 30 et 60;0;0;0;0;21 X 9;3;NULL;2124781.424;2124799.287;-38.22718378;-19.93405201
18;94002AJ0014_01_SEN_ind01.pdf;94002AJ0014;1;2;34;5;29;3;31;26;40m < D <= 50m;entre 60 et 90;Nous navons pas pu accder au site;1;1;NULL;10 X 10;8;NULL;2125125.189;2125138.478;40.16906708;52.84053543
19;94002AE0084_01_SEN_ind01.pdf;94002AE0084;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;0;9 X 6;5;NULL;2124853.309;2124860.435;17.67815274;32.10360232
20;94002AK0073_01_SEN_ind01.pdf;94002AK0073;1;1;35;6;29;4;31;25;40m < D <= 50m;<30;1;3;NULL;1;60 X 18;13;NULL;2125208.198;2125265.264;-69.35990415;-41.67656534
21;94002AF0161_01_SEN_ind01.pdf;94002AF0161;1;1;35;5;30;0;35;30;40m < D <= 50m;<30;0;1;1;0;15 X 11;6;NULL;2124556.397;2124568.354;-26.32070579;-17.10309535
22;94002AF0156_01_SEN_ind01.pdf;94002AF0156;1;1;35;5;30;1;34;29;40m < D <= 50m;<30;1;0;1;0;12 X 9;4;NULL;2124597.01;2124609.337;-27.02527025;-17.25046195
23;94002AF0060_01_SEN_ind01.pdf;94002AF0060;1;1;35;5;30;0;NULL;non dtermin;20m < D <= 30m;entre 60 et 90;Non dtermin;1;NULL;NULL;10 X 5;7;NULL;2124549.314;2124559.251;-0.080906937;9.163580912
24;94002AE0175_01_SEN_ind01.pdf;94002AE0175;1;1;35;5;30;3;32;27;20m < D <= 30m;entre 60 et 90;Non dtermin;4;0;2;30 X 25;16;NULL;2124807.097;2124830.13;-39.4129358;-10.67040892
