shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122526.29043738;2122555.74797876;-63.7600012723973;-39.5219675288149
1.ring1;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;2122536.1254164;2122546.31106613;-56.7464060667556;-47.8611774111159
2;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;2123537.13146615;2123609.03018941;4.53337146559017;61.726966373669
2.ring1;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;2123569.85998851;2123585.45515307;25.5929428726781;40.091416211874
3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123557.85274154;2123729.82984192;-211.733270524461;-8.71437025248005
3.ring1;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123675.99315074;2123682.2027219;-123.821689634224;-114.012712526874
3.ring2;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123642.40168704;2123648.09846421;-148.660660071212;-139.609406964134
3.ring3;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;2123599.33230569;2123605.45083793;-155.456475887759;-146.289843467344
4;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123934.35385943;2123988.48222698;-21.5316359928274;34.0595950010243
4.ring1;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;2123943.07994759;2123958.60483517;5.32842746468322;24.7131144295897
