ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2119218.00;1661735.16;8179828.60;-2.40
Profilo Progetto;Profilo Progetto;2119228.00;1661727.80;8179821.83;-2.60
Profilo Progetto;Profilo Progetto;2119238.00;1661720.46;8179815.03;-2.80
Profilo Progetto;Profilo Progetto;2119248.00;1661713.15;8179808.21;-3.00
Profilo Progetto;Profilo Progetto;2119258.00;1661705.88;8179801.35;-3.20
Profilo Progetto;Profilo Progetto;2119268.00;1661698.66;8179794.43;-3.40
Profilo Progetto;Profilo Progetto;2119278.00;1661691.49;8179787.45;-3.60
Profilo Progetto;Profilo Progetto;2119288.00;1661684.41;8179780.40;-3.80
Profilo Progetto;Profilo Progetto;2119298.00;1661677.40;8179773.27;-4.00
Profilo Progetto;Profilo Progetto;2119308.00;1661670.47;8179766.06;-4.20
Profilo Progetto;Profilo Progetto;2119318.00;1661663.62;8179758.77;-4.40
Profilo Progetto;Profilo Progetto;2119328.00;1661656.85;8179751.41;-4.60
Profilo Progetto;Profilo Progetto;2119338.00;1661650.16;8179743.98;-4.80
Profilo Progetto;Profilo Progetto;2119348.00;1661643.56;8179736.47;-5.00
Profilo Progetto;Profilo Progetto;2119358.00;1661637.04;8179728.88;-5.20
Profilo Progetto;Profilo Progetto;2119368.00;1661630.60;8179721.23;-5.40
Profilo Progetto;Profilo Progetto;2119378.00;1661624.25;8179713.51;-5.60
Profilo Progetto;Profilo Progetto;2119388.00;1661617.98;8179705.71;-5.80
Profilo Progetto;Profilo Progetto;2119398.00;1661611.81;8179697.85;-6.00
Profilo Progetto;Profilo Progetto;2119408.00;1661605.72;8179689.92;-6.20
Profilo Progetto;Profilo Progetto;2119418.00;1661599.71;8179681.92;-6.40
Profilo Progetto;Profilo Progetto;2119428.00;1661593.80;8179673.85;-6.60
Profilo Progetto;Profilo Progetto;2119438.00;1661587.98;8179665.72;-6.80
Profilo Progetto;Profilo Progetto;2119448.00;1661582.25;8179657.53;-7.00
Profilo Progetto;Profilo Progetto;2119458.00;1661576.61;8179649.27;-7.20
Profilo Progetto;Profilo Progetto;2119468.00;1661571.06;8179640.95;-7.40
Profilo Progetto;Profilo Progetto;2119478.00;1661565.60;8179632.57;-7.60
Profilo Progetto;Profilo Progetto;2119488.00;1661560.24;8179624.13;-7.80
Profilo Progetto;Profilo Progetto;2119498.00;1661554.97;8179615.64;-8.00
Profilo Progetto;Profilo Progetto;2119508.00;1661549.79;8179607.08;-8.20
Profilo Progetto;Profilo Progetto;2119518.00;1661544.71;8179598.47;-8.40
Profilo Progetto;Profilo Progetto;2119528.00;1661539.73;8179589.80;-8.60
Profilo Progetto;Profilo Progetto;2119538.00;1661534.84;8179581.07;-8.80
Profilo Progetto;Profilo Progetto;2119548.00;1661530.05;8179572.29;-9.00
Profilo Progetto;Profilo Progetto;2119558.00;1661525.36;8179563.46;-9.20
