PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2150080.0;94081CL0140_02;1.0;2.0;1.0;0.0016883430067282392;0.0002791343855054271;0.00018967035762992745
2150080.0;94081CI0191_06;1.0;1.0;1.0;0.000908997252612467;0.00016780812195650466;0.00014337951483267206
2150080.0;94081CI0191_07;1.0;1.0;1.0;0.012357052506921153;0.0006860056896674551;0.000528527274345831
2150080.0;94081CI0191_08;1.0;1.0;1.0;0.01201845673005643;0.0006671465158812785;0.0005140460577169357
2150090.0;94081CL0140_02;1.0;2.0;1.0;0.001585272788379966;0.0002696466036638083;0.0001887292020803008
2150090.0;94081CI0191_07;1.0;1.0;1.0;0.012325774361494445;0.0006957240436049919;0.0005373010819730003
2150090.0;94081CI0191_08;1.0;1.0;1.0;0.011995218518549282;0.0006770346708795412;0.0005228926185059416
2150090.0;94081CI0265_01;1.0;1.0;1.0;1.1277827543360069e-07;4.07119617925093e-08;9.67540552565412e-08
2150100.0;94081CL0140_02;1.0;2.0;1.0;0.0013895475682534223;0.0002540116732670647;0.00019131837222679642
2150100.0;94081CI0008_01;1.0;1.0;1.0;1.5970839039629836e-06;5.343478886112886e-07;1.100895664689334e-06
2150100.0;94081CI0191_07;1.0;1.0;1.0;0.012713120778855185;0.0007485724139867239;0.0005815655231143052
2150100.0;94081CI0191_08;1.0;1.0;1.0;0.012371581340809002;0.0007284494270330506;0.000565942899872034
2150100.0;94081CI0265_01;1.0;1.0;1.0;5.506502309542201e-08;2.1409497837696536e-08;5.3872623374868504e-08
2150110.0;94081CL0140_02;1.0;2.0;1.0;0.0013853639330613265;0.0002533210511001385;0.00019081676108798453
2150110.0;94081CI0008_01;1.0;1.0;1.0;1.5887331468930917e-06;5.317401058697755e-07;1.09554841100672e-06
2150110.0;94081CI0010_01;1.0;1.0;1.0;8.163111159507954e-06;2.4895615388974516e-06;4.508565726203336e-06
2150110.0;94081CI0191_07;1.0;1.0;1.0;0.012681458343290724;0.0007468122074640191;0.0005801171144521691
2150110.0;94081CI0191_08;1.0;1.0;1.0;0.012342318206572039;0.0007268281928744075;0.0005646042454367386
2150110.0;94081CI0265_01;1.0;1.0;1.0;5.4589904639756584e-08;2.1232416666107628e-08;5.3429518348553185e-08
2150120.0;94081CL0140_02;1.0;2.0;1.0;0.0013816385327154888;0.0002527053739995074;0.00019036939017871683
2150120.0;94081CI0008_01;1.0;1.0;1.0;1.5813370093949038e-06;5.294288780210144e-07;1.0908090148425548e-06
2150120.0;94081CI0009_01;1.0;1.0;1.0;1.4882910348993133e-09;6.543848487170969e-10;1.942860171249858e-09
2150120.0;94081CI0010_01;1.0;1.0;1.0;8.129565079139649e-06;2.480084301662397e-06;4.491515594479677e-06
2150120.0;94081CI0011_01;1.0;1.0;1.0;3.05086056187315e-05;8.514886599233173e-06;1.3538221241251878e-05
2150120.0;94081CI0012_01;1.0;1.0;1.0;0.00017922528765906254;4.299912552869245e-05;5.3795542445684585e-05
2150120.0;94081CI0191_07;1.0;1.0;1.0;0.012653036999108087;0.0007452305159305055;0.0005788169706114966
2150120.0;94081CI0191_08;1.0;1.0;1.0;0.01231604207384446;0.0007253708072981113;0.000563402232658833
2150120.0;94081CI0265_01;1.0;1.0;1.0;5.379670893727596e-08;2.0930580064548565e-08;5.267175889803832e-08
2150120.0;94081CI0277_01;1.0;1.0;1.0;0.011903170402160521;0.0007091296493093335;0.000456081280706893
2150130.0;94081CL0140_02;1.0;2.0;1.0;0.001431663175600617;0.00025771505670970767;0.00019101077074393181
2150130.0;94081CI0008_01;1.0;1.0;1.0;1.8232193835838413e-06;6.006169920567572e-07;1.2227191209009011e-06
2150130.0;94081CI0009_01;1.0;1.0;1.0;1.924503945323572e-09;8.322347216286638e-10;2.4398190340212413e-09
2150130.0;94081CI0010_01;1.0;1.0;1.0;9.125170437332499e-06;2.739589746087125e-06;4.901048829796468e-06
2150130.0;94081CI0011_01;1.0;1.0;1.0;3.353593334472838e-05;9.212372723397545e-06;1.4464220067815827e-05
2150130.0;94081CI0012_01;1.0;1.0;1.0;0.00019161765497465916;4.5254704673906084e-05;5.586727964367279e-05
2150130.0;94081CI0027_01;1.0;1.0;1.0;5.437218073808601e-06;1.6781505898893307e-06;3.0550746797952207e-06
2150130.0;94081CI0109_01;1.0;1.0;1.0;0.00027229502370476437;6.173151723142925e-05;6.551345648371733e-05
2150130.0;94081CI0191_07;1.0;1.0;1.0;0.012634151655865627;0.0007371476475056461;0.0005716767263212605
2150130.0;94081CI0191_08;1.0;1.0;1.0;0.012290975689398086;0.0007169995282534911;0.0005561496780067103
2150130.0;94081CI0265_01;1.0;1.0;1.0;6.561465423326419e-08;2.5113084756497147e-08;6.23869999682537e-08
2150130.0;94081CI0277_01;1.0;1.0;1.0;0.011867688253982904;0.0007002970755389133;0.0004504006362883297
2150140.0;94081CL0140_02;1.0;2.0;1.0;0.001472179419753775;0.0002617874201840721;0.000191572428034565
2150140.0;94081CI0008_01;1.0;1.0;1.0;2.031873928162514e-06;6.61145780153714e-07;1.3333513547069195e-06
2150140.0;94081CI0009_01;1.0;1.0;1.0;2.3311764757440373e-09;9.954043983259331e-10;2.889602530099927e-09
2150140.0;94081CI0010_01;1.0;1.0;1.0;9.96841639710299e-06;2.9564033443605193e-06;5.238407800114976e-06
2150140.0;94081CI0011_01;1.0;1.0;1.0;3.6062630913901914e-05;9.787092032106917e-06;1.5216099448652e-05
2150140.0;94081CI0012_01;1.0;1.0;1.0;0.00020179126997015538;4.708761656474313e-05;5.7526281987250205e-05
2150140.0;94081CI0025_01;1.0;1.0;1.0;0.00037734163754183823;8.181902976344961e-05;8.041751470705497e-05
2150140.0;94081CI0026_01;1.0;1.0;1.0;0.00010088938551500126;2.5060678451186416e-05;3.199675270540463e-05
2150140.0;94081CI0027_01;1.0;1.0;1.0;5.95716419275699e-06;1.8162960035838305e-06;3.2730032074048772e-06
2150140.0;94081CI0109_01;1.0;1.0;1.0;0.00028464489097664806;6.376325105364229e-05;6.690652178990505e-05
2150140.0;94081CI0110_01;1.0;1.0;1.0;0.0007920684468850923;0.0001555166169888907;0.0001238084864787556
2150140.0;94081CI0191_07;1.0;1.0;1.0;0.012632558613642661;0.0007317381507705183;0.0005667323482129209
2150140.0;94081CI0191_08;1.0;1.0;1.0;0.012285852038463805;0.0007115151309934318;0.0005511792401955811
2150140.0;94081CI0265_01;1.0;1.0;1.0;7.606782098207137e-08;2.875195954955366e-08;7.071362845860473e-08
2150140.0;94081CI0275_02;1.0;1.0;1.0;0.006833483204947096;0.0006779444394256666;0.00020654471313105477
2150140.0;94081CI0277_01;1.0;1.0;1.0;0.011829342304170633;0.0006929318808512643;0.0004455796475130861
2150150.0;94081CL0140_02;1.0;2.0;1.0;0.0014376835552916706;0.0002580008666489132;0.000190504824844031
2150150.0;94081CH0162_01;1.0;2.0;1.0;1.9285948829410687e-14;1.094040561623459e-14;4.3158471642433055e-14
2150150.0;94081CI0008_01;1.0;1.0;1.0;1.8673794202451047e-06;6.133397037973821e-07;1.2449889526250575e-06
2150150.0;94081CI0009_01;1.0;1.0;1.0;1.968760979306082e-09;8.487962350232852e-10;2.4810198419912643e-09
2150150.0;94081CI0010_01;1.0;1.0;1.0;9.301556400669285e-06;2.784311825984229e-06;4.966331244785785e-06
2150150.0;94081CI0011_01;1.0;1.0;1.0;3.405349610057778e-05;9.32706442488492e-06;1.4600130472529384e-05
2150150.0;94081CI0012_01;1.0;1.0;1.0;0.00019358080916159501;4.558361983242041e-05;5.609522052805913e-05
2150150.0;94081CI0014_01;1.0;1.0;1.0;6.513058881161776e-07;2.242852258893835e-07;4.81509122590088e-07
2150150.0;94081CI0015_01;1.0;1.0;1.0;2.8774990230014343e-08;1.1310113626618955e-08;2.916103951193936e-08
2150150.0;94081CI0019_01;1.0;1.0;1.0;0.002113511727328455;0.0003481957031482256;0.0001788263711103763
2150150.0;94081CI0019_02;1.0;1.0;1.0;0.0001257294128206508;3.080422726133619e-05;4.047966817924297e-05
2150150.0;94081CI0025_01;1.0;1.0;1.0;0.0003647113542550344;7.979791597808805e-05;7.906650394680457e-05
2150150.0;94081CI0026_01;1.0;1.0;1.0;9.63498339183372e-05;2.4151433680540386e-05;3.107045444642218e-05
2150150.0;94081CI0027_01;1.0;1.0;1.0;5.542612491718006e-06;1.7056508401024863e-06;3.095535549014903e-06
2150150.0;94081CI0109_01;1.0;1.0;1.0;0.00027441441235736245;6.202950982326624e-05;6.560567202884169e-05
2150150.0;94081CI0110_01;1.0;1.0;1.0;0.000770728487696937;0.00015270345380914713;0.00012261932140454482
2150150.0;94081CI0191_08;1.0;1.0;1.0;0.012251622938040387;0.0007132920128603982;0.0005528680336508466
2150150.0;94081CI0265_01;1.0;1.0;1.0;6.639615217524761e-08;2.5336147665166874e-08;6.275129154852784e-08
2150150.0;94081CI0275_01;1.0;1.0;1.0;0.01049453431467842;0.0006958381877220273;0.00031127812523539466
2150150.0;94081CI0275_02;1.0;1.0;1.0;0.006779263503474749;0.0006793096170840004;0.00020783303647593614
2150150.0;94081CI0277_01;1.0;1.0;1.0;0.011814927143671165;0.000695837741746002;0.0004473033443120832
2150160.0;94081CL0140_02;1.0;2.0;1.0;0.0014652717418629539;0.0002607317529084429;0.00019084347013306936
2150160.0;94081CH0162_01;1.0;2.0;1.0;2.4441460560762986e-14;1.3740577603150944e-14;5.38788114738786e-14
2150160.0;94081CH0313_01;1.0;1.0;1.0;1.7522773577346748e-13;9.478496372498762e-14;3.559185225259995e-13
2150160.0;94081CI0008_01;1.0;1.0;1.0;2.0124480433976154e-06;6.553440991978761e-07;1.3217225336915616e-06
2150160.0;94081CI0009_01;1.0;1.0;1.0;2.212456295309151e-09;9.454962534741678e-10;2.7450805036851276e-09
2150160.0;94081CI0010_01;1.0;1.0;1.0;9.886844687290648e-06;2.9344880285829855e-06;5.1999208113808525e-06
2150160.0;94081CI0011_01;1.0;1.0;1.0;3.58028756594484e-05;9.723971256447115e-06;1.5119183964835414e-05
