ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2122088;1659996.62;8177877.58;15.86
Profilo Progetto;Profilo Progetto;2122098;1659987.27;8177874.04;15.81
Profilo Progetto;Profilo Progetto;2122108;1659977.92;8177870.51;15.76
Profilo Progetto;Profilo Progetto;2122118;1659968.56;8177866.97;15.71
Profilo Progetto;Profilo Progetto;2122128;1659959.21;8177863.44;15.66
Profilo Progetto;Profilo Progetto;2122138;1659949.85;8177859.91;15.61
Profilo Progetto;Profilo Progetto;2122148;1659940.5;8177856.37;15.56
Profilo Progetto;Profilo Progetto;2122158;1659931.14;8177852.84;15.51
Profilo Progetto;Profilo Progetto;2122168;1659921.79;8177849.31;15.46
Profilo Progetto;Profilo Progetto;2122178;1659912.43;8177845.77;15.41
Profilo Progetto;Profilo Progetto;2122188;1659903.08;8177842.24;15.36
Profilo Progetto;Profilo Progetto;2122198;1659893.72;8177838.71;15.31
Profilo Progetto;Profilo Progetto;2122208;1659884.37;8177835.17;15.26
Profilo Progetto;Profilo Progetto;2122218;1659875.01;8177831.64;15.21
Profilo Progetto;Profilo Progetto;2122228;1659865.67;8177828.07;15.16
Profilo Progetto;Profilo Progetto;2122238;1659856.36;8177824.42;15.11
Profilo Progetto;Profilo Progetto;2122248;1659847.1;8177820.63;15.06
Profilo Progetto;Profilo Progetto;2122258;1659837.93;8177816.67;15.01
Profilo Progetto;Profilo Progetto;2122268;1659828.85;8177812.47;14.96
Profilo Progetto;Profilo Progetto;2122278;1659819.91;8177807.99;14.91
Profilo Progetto;Profilo Progetto;2122288;1659811.12;8177803.22;14.86
Profilo Progetto;Profilo Progetto;2122298;1659802.49;8177798.16;14.81
Profilo Progetto;Profilo Progetto;2122308;1659794.04;8177792.82;14.76
Profilo Progetto;Profilo Progetto;2122318;1659785.77;8177787.2;14.71
Profilo Progetto;Profilo Progetto;2122328;1659777.69;8177781.31;14.66
Profilo Progetto;Profilo Progetto;2122338;1659769.81;8177775.16;14.61
Profilo Progetto;Profilo Progetto;2122348;1659762.13;8177768.75;14.56
Profilo Progetto;Profilo Progetto;2122358;1659754.68;8177762.08;14.51
Profilo Progetto;Profilo Progetto;2122368;1659747.45;8177755.18;14.46
Profilo Progetto;Profilo Progetto;2122378;1659740.45;8177748.04;14.41
Profilo Progetto;Profilo Progetto;2122388;1659733.69;8177740.67;14.36
Profilo Progetto;Profilo Progetto;2122398;1659727.18;8177733.08;14.31
Profilo Progetto;Profilo Progetto;2122408;1659720.92;8177725.27;14.26
Profilo Progetto;Profilo Progetto;2122418;1659714.93;8177717.27;14.21
Profilo Progetto;Profilo Progetto;2122428;1659709.2;8177709.07;14.16
Profilo Progetto;Profilo Progetto;2122438;1659703.75;8177700.69;14.11
Profilo Progetto;Profilo Progetto;2122448;1659698.58;8177692.13;14.06
Profilo Progetto;Profilo Progetto;2122458;1659693.68;8177683.42;14.01
Profilo Progetto;Profilo Progetto;2122468;1659688.99;8177674.58;13.96
Profilo Progetto;Profilo Progetto;2122478;1659684.48;8177665.66;13.91
Profilo Progetto;Profilo Progetto;2122488;1659680.09;8177656.67;13.86
Profilo Progetto;Profilo Progetto;2122498;1659675.78;8177647.65;13.81
Profilo Progetto;Profilo Progetto;2122508;1659671.5;8177638.61;13.76
Profilo Progetto;Profilo Progetto;2122518;1659667.21;8177629.58;13.71
Profilo Progetto;Profilo Progetto;2122528;1659662.93;8177620.54;13.66
Profilo Progetto;Profilo Progetto;2122538;1659658.65;8177611.5;13.61
