ID;Descrizione;PK;Excavation Radius;Lining Internal Radius;Lining Thickness;Lining Offset
Profilo Progetto;Sezione Base;2150010;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150020;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150030;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150040;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150050;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150060;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150070;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150080;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150090;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150100;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150110;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150120;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150130;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150140;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150150;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150160;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150170;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150180;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150190;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150200;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150210;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150220;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150230;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150240;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150250;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150260;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150270;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150280;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150290;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150300;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150310;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150320;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150330;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150340;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150350;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150360;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150370;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150380;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150390;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150400;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150410;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150420;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150430;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150440;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150450;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150460;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150470;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150480;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150490;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150500;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150510;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150520;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150530;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150540;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150550;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150560;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150570;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150580;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150590;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150600;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150610;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150620;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150630;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150640;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150650;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150660;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150670;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150680;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150690;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150700;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150710;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150720;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150730;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150740;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150750;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150760;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150770;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150780;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150790;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150800;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150810;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150820;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150830;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150840;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150850;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150860;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150870;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150880;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150890;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150900;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150910;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150920;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150930;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150940;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150950;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150960;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150970;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150980;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2150990;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151000;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151010;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151020;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151030;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151040;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151050;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151060;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151070;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151080;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151090;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151100;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151110;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151120;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151130;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151140;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151150;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151160;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151170;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151180;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151190;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151200;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151210;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151220;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151230;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151240;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151250;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151260;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151270;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151280;4.9;4.35;0.4;1.97
Profilo Progetto;Sezione Base;2151290;4.9;4.35;0.4;1.97
