ID_bati;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base;Classe de dommage - Vibration;Vulnérablité - Vibration;Vitessse de vibration
94002AJ0060_01;2125169.56449;2125185.50901;-48.2571358147;-32.4978718765;None;None;None;None;1.0;1.0;1.0;0.584998818456;0.0760299551888;0.0505064169854;1.0;1.0;0.584998818456;0.0760299551888;0.0505064169854;1.0;1.0;0.0647679939491
94002AJ0061_01;2125162.69568;2125178.6357;-55.2930932436;-39.5504413773;None;None;None;None;1.0;1.0;1.0;0.218860636274;0.0326781898462;0.0299898913762;1.0;1.0;0.218860636274;0.0326781898462;0.0299898913762;1.0;1.0;0.0532887762606
94002AJ0062_01;2125155.47108;2125171.75374;-62.5102469492;-46.4763794839;None;None;None;None;1.0;1.0;1.0;0.0748497200547;0.0122829701527;0.0142517813976;1.0;1.0;0.0748497200547;0.0122829701527;0.0142517813976;1.0;1.0;0.0447280230671
94002AJ0085_01;2125043.06255;2125056.67848;-26.6031540579;-10.5705302585;None;None;None;None;3.0;1.0;2.0;2.84047667477;0.137682978988;0.0389188372395;1.0;2.0;2.84047667477;0.137682978988;0.0389188372395;1.0;2.0;0.102385964643
94002AJ0085_02;2125030.98237;2125050.16583;-44.7614157806;-15.462916572;None;None;None;None;3.0;1.0;2.0;2.28885341897;0.141118799564;0.0432914476567;1.0;2.0;2.28885341897;0.141118799564;0.0432914476567;1.0;2.0;0.082523867154
94002AJ0085_03;2125049.39569;2125058.96835;-29.9883083504;-20.1948278617;None;None;None;None;3.0;1.0;2.0;1.56569104675;0.122802044861;0.0354966247204;1.0;2.0;1.56569104675;0.122802044861;0.0354966247204;1.0;2.0;0.0824237462155
94002AJ0086_01;2125022.18222;2125030.37969;-9.08941498577;2.49547316896;None;None;None;None;1.0;1.0;1.0;3.60885636835;0.117294260224;0.0884900118906;1.0;1.0;3.60885636835;0.117294260224;0.0884900118906;1.0;1.0;0.112604009521
94002AJ0101_01;2125035.36361;2125050.20537;-4.98082314496;8.26867822717;None;None;None;None;2.0;1.0;1.0;3.60885653676;0.110433055017;0.0884900236644;1.0;1.0;3.60885653676;0.110433055017;0.0884900236644;1.0;1.0;0.113552182568
94002AJ0131_01;2125087.50361;2125126.29096;38.5041371704;92.6089341485;None;None;None;None;1.0;1.0;1.0;0.335165435986;0.0437062856515;0.033625740409;1.0;1.0;0.335165435986;0.0437062856515;0.033625740409;1.0;1.0;0.0556472051986
94002AK0073_01;2125208.92889;2125265.99455;-69.3599091679;-41.6765605558;None;None;None;None;1.0;1.0;1.0;0.135689064572;0.0211583624492;0.0211297428745;1.0;1.0;0.135689064572;0.0211583624492;0.0211297428745;1.0;1.0;0.05569444076
