PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2125698.0;94081DI0005_02;1.0;1.0;1.0;0.010266199591682764;0.0006573034822700151;0.00020240591599731753
2125708.0;94081DI0005_02;1.0;1.0;1.0;0.010206891189111795;0.000656937095255612;0.00020234733694055225
2125718.0;94081DI0005_02;1.0;1.0;1.0;0.010150200951129774;0.0006573758647145772;0.0002025534487180714
2125728.0;94081DI0005_02;1.0;1.0;1.0;0.010126786225297547;0.0006591505123542052;0.00020317991263797837
2125738.0;94081DI0005_02;1.0;1.0;1.0;0.010120529760743945;0.0006616484797830036;0.00020403143275881172
2125748.0;94081DI0005_02;1.0;1.0;1.0;0.010118416298863413;0.0006647457881207841;0.00020508087614789518
2125758.0;94081DI0005_02;1.0;1.0;1.0;0.010121652902723204;0.0006678623906992324;0.00020613125485807805
2125768.0;94081DI0005_02;1.0;1.0;1.0;0.010122804416638648;0.0006708669457411122;0.00020714925431458936
2125778.0;94081DI0005_02;1.0;1.0;1.0;0.010132370821781317;0.0006744002611783645;0.0002082913850804939
2125788.0;94081DI0005_02;1.0;1.0;1.0;0.01015122483802984;0.0006784657091656664;0.0002095600475483526
2125798.0;94081DI0005_02;1.0;1.0;1.0;0.0101515792371636;0.0006819590679120354;0.00021067890414486635
2125808.0;94081DI0005_02;1.0;1.0;1.0;0.010540465452577467;0.0007108079598164782;0.00021963418290165673
2125818.0;94081DI0005_02;1.0;1.0;1.0;0.01051613681621917;0.0007125752174832674;0.0002202531983694426
2125828.0;94081DI0005_02;1.0;1.0;1.0;0.01048179458083035;0.0007140721889272027;0.0002207951386434609
2125838.0;94081DI0005_02;1.0;1.0;1.0;0.01044006916537846;0.0007153917634746302;0.0002213001542074438
2125848.0;94081DI0005_02;1.0;1.0;1.0;0.010407479711313651;0.0007162056034420992;0.00022162234988152896
2125848.0;94081DI0024_04;1.0;2.0;1.0;0.005707770118789287;0.0006165604720199227;0.00024528776432793727
2125848.0;94081DJ0041_01;1.0;2.0;1.0;0.005879129329033075;0.0006715941988041834;0.0002710061511971944
2125858.0;94081DI0005_02;1.0;1.0;1.0;0.010389960074662113;0.0007165154173570389;0.0002217556787791307
2125858.0;94081DI0024_04;1.0;2.0;1.0;0.005687803633531612;0.0006156966117459492;0.0002453654055807664
2125858.0;94081DJ0041_01;1.0;2.0;1.0;0.005854659022615269;0.0006701910105880247;0.0002709714006766133
2125868.0;94081DI0005_02;1.0;1.0;1.0;0.010367803743946849;0.0007169094939964524;0.00022192036506196424
2125868.0;94081DI0024_04;1.0;2.0;1.0;0.0056627515627952095;0.0006146243001177095;0.00024546971046411723
2125868.0;94081DJ0041_01;1.0;2.0;1.0;0.0058242528696718105;0.0006684751354778098;0.0002709485827542818
2125878.0;94081DI0005_02;1.0;1.0;1.0;0.010358342596148967;0.0007169585583615783;0.00022196265284622052
2125878.0;94081DI0024_04;1.0;2.0;1.0;0.005652026010595406;0.000614050568925884;0.0002454485698058427
2125878.0;94081DJ0041_01;1.0;2.0;1.0;0.005810209631899529;0.0006674961677104918;0.0002708121243061831
2125888.0;94081DI0024_04;1.0;2.0;1.0;0.005600529823015813;0.0006121543062353709;0.00024588245033895255
2125888.0;94081DJ0041_01;1.0;2.0;1.0;0.005749622674781872;0.0006645106336265346;0.00027110833766174887
2125898.0;94081DJ0131_06;1.0;1.0;1.0;0.014772487367865045;0.0006955193649975294;0.0005439055791689599
2125898.0;94081DI0024_04;1.0;2.0;1.0;0.005789337686945082;0.0006367063252933773;0.0002570145059639673
2125898.0;94081DJ0041_01;1.0;2.0;1.0;0.005969335787884915;0.0006941316650571461;0.00028480566788621065
2125908.0;94081DJ0131_06;1.0;1.0;1.0;0.01477007294428016;0.0006968870953031579;0.0005452218920763914
2125908.0;94081DI0024_03;1.0;2.0;1.0;2.3646300342887906e-05;5.510467632480517e-06;8.446559972612726e-06
2125908.0;94081DI0024_04;1.0;2.0;1.0;0.005760189377338349;0.000635882923287575;0.00025748983297653406
2125908.0;94081DJ0041_01;1.0;2.0;1.0;0.005934673783003302;0.0006926673061116334;0.0002852277951546629
2125918.0;94081DJ0131_06;1.0;1.0;1.0;0.01477856255433406;0.0006986048355045456;0.0005467462306066719
2125918.0;94081DI0024_03;1.0;2.0;1.0;2.3117519456561257e-05;5.404197537791055e-06;8.307812083556356e-06
2125918.0;94081DI0024_04;1.0;2.0;1.0;0.005741176635795436;0.0006359031265198041;0.000258204492602561
2125928.0;94081DJ0131_06;1.0;1.0;1.0;0.014778571629656052;0.0007001686349046763;0.0005481661585204018
2125928.0;94081DI0024_03;1.0;2.0;1.0;2.241525079243175e-05;5.259699900997644e-06;8.113513189412119e-06
2125928.0;94081DI0024_04;1.0;2.0;1.0;0.005714057103933063;0.0006354078266065727;0.00025884097237969606
2125938.0;94081DJ0131_06;1.0;1.0;1.0;0.014776782058033688;0.0007014660477505821;0.0005493223053949089
2125938.0;94081DI0024_03;1.0;2.0;1.0;2.178447510475206e-05;5.128831648065617e-06;7.935246670775954e-06
2125938.0;94081DI0024_04;1.0;2.0;1.0;0.005690494213322327;0.0006350048320435936;0.00025940905801719543
2125948.0;94081DJ0131_06;1.0;1.0;1.0;0.014770519790641262;0.000703031240631657;0.0005507273559843028
2125948.0;94081DI0024_03;1.0;2.0;1.0;2.1027898606480042e-05;4.973118644361238e-06;7.72511413928484e-06
2125948.0;94081DI0024_04;1.0;2.0;1.0;0.005656639084267711;0.0006342041430712638;0.00026007028446168917
2125958.0;94081DJ0131_06;1.0;1.0;1.0;0.014763679299476603;0.0007043462466215743;0.0005519127904395262
2125958.0;94081DI0024_03;1.0;2.0;1.0;2.0371094123768284e-05;4.836990191750903e-06;7.540225449660578e-06
2125958.0;94081DI0024_04;1.0;2.0;1.0;0.005626789366820054;0.0006334716185454882;0.00026064615832613065
2125968.0;94081DJ0131_06;1.0;1.0;1.0;0.014764977267006055;0.0007057809577286753;0.0005532021379576214
2125968.0;94081DI0024_03;1.0;2.0;1.0;1.9879770795256104e-05;4.735813840418525e-06;7.404548780676379e-06
2125968.0;94081DI0024_04;1.0;2.0;1.0;0.00560399604497197;0.0006330806974042234;0.00026123716644230557
2125978.0;94081DJ0131_06;1.0;1.0;1.0;0.014764597193598569;0.0007073730693744349;0.0005546425594236241
2125978.0;94081DI0024_03;1.0;2.0;1.0;1.9373663333586046e-05;4.632970082645535e-06;7.269035555819212e-06
2125988.0;94081DJ0131_06;1.0;1.0;1.0;0.014775764705691703;0.0007094602146647748;0.000556525513333898
2125988.0;94081DJ0131_08;1.0;1.0;1.0;3.0644064461887466e-06;8.101308198635808e-07;1.6097571191369574e-06
2125988.0;94081DI0024_03;1.0;2.0;1.0;1.894893028880545e-05;4.547772127604903e-06;7.159818487099307e-06
2125998.0;94081DJ0131_06;1.0;1.0;1.0;0.014781043282510488;0.0007112937771144996;0.0005581960307692416
2125998.0;94081DJ0131_08;1.0;1.0;1.0;2.9689599427760893e-06;7.878487288843024e-07;1.5702928944171547e-06
2125998.0;94081DI0024_03;1.0;2.0;1.0;1.8525783457984418e-05;4.462647336160572e-06;7.050198842391332e-06
2126008.0;94081DJ0131_06;1.0;1.0;1.0;0.01478657974020124;0.000713169436314268;0.0005598851681224254
2126008.0;94081DJ0131_08;1.0;1.0;1.0;2.8742309477189413e-06;7.65643161970693e-07;1.5307432675447889e-06
2126008.0;94081DI0024_03;1.0;2.0;1.0;1.8121826964932575e-05;4.381828279241611e-06;6.9466749124262214e-06
2126018.0;94081DJ0131_05;1.0;2.0;1.0;0.015526755738036037;0.00075058662962937;0.0005894450274768247
2126018.0;94081DJ0131_08;1.0;1.0;1.0;2.6963275214584385e-06;7.21062200005109e-07;1.446086135000007e-06
2126018.0;94081DI0024_03;1.0;2.0;1.0;1.698461071882569e-05;4.122641156941536e-06;6.558784795080973e-06
2126028.0;94081DJ0131_05;1.0;2.0;1.0;0.01552366741621533;0.0007521643212645632;0.0005908979887462659
2126028.0;94081DJ0131_08;1.0;1.0;1.0;2.605555619910353e-06;6.995759597348755e-07;1.4073682477403506e-06
2126028.0;94081DI0024_03;1.0;2.0;1.0;1.653870819690635e-05;4.030195328691197e-06;6.434408183694024e-06
2126038.0;94081DJ0131_16;1.0;1.0;1.0;3.0410734951713e-07;9.125465772378699e-08;2.1274629332197959e-07
2126038.0;94081DJ0131_05;1.0;2.0;1.0;0.015509391857963893;0.0007537856354165866;0.0005923838991552197
2126038.0;94081DJ0131_08;1.0;1.0;1.0;2.488866542969435e-06;6.717730498611212e-07;1.3568863168355006e-06
2126038.0;94081DJ0131_09;1.0;1.0;1.0;0.00018965462873103459;3.7998741569619016e-05;4.9563404422828525e-05
