bldg_code;vulnerability
94081DJ0131_12;1.0
94081DJ0131_16;1.0
94081DJ0135_01;1.0
94081DI0027_16;1.0
94081DI0027_17;1.0
94081DI0027_18;1.0
94081DI0027_19;1.0
94081DI0027_20;1.0
94081DJ0090_01;1.0
94081DJ0131_05;1.0
94081DJ0131_06;1.0
94081DJ0131_08;1.0
94081DJ0131_09;1.0
94081DJ0131_10;1.0
94081DJ0131_11;1.0
94081CL0072_01;1.0
94081CL0073_01;1.0
94081CL0074_01;1.0
94081CL0076_01;1.0
94081CL0101_01;1.0
94081CL0102_01;1.0
94081CL0104_01;1.0
94081CL0105_01;1.0
94081CL0106_01;1.0
94081CL0108_01;1.0
94081CL0140_02;1.0
94081CL0147_01;1.0
94081CL0148_01;1.0
94081CL0153_01;1.0
94081CL0158_01;1.0
94081CL0159_01;1.0
94081CL0160_01;1.0
94081CL0161_01;1.0
94081CL0162_01;1.0
94081CL0164_01;1.0
94081CL0165_01;1.0
94081CL0166_01;1.0
94081CL0168_01;1.0
94081CL0169_01;1.0
94081CL0170_02;1.0
94081CL0171_01;1.0
94081CL0174_01;1.0
94081CL0175_01;1.0
94081CM0018_01;1.0
94081CM0019_01;1.0
94081CM0019_02;1.0
94081CM0020_01;1.0
94081CM0021_01;1.0
94081CM0022_01;1.0
94081CM0024_01;1.0
94081CM0024_02;1.0
94081CM0025_01;1.0
94081CM0065_01;1.0
94081CM0075_01;1.0
94081CM0093_01;1.0
94081CM0098_01;1.0
94081CM0115_02;1.0
94081CM0115_03;1.0
94081CM0115_04;1.0
94081CM0115_05;1.0
94081CM0142_01;1.0
94081CM0156_01;1.0
94081CM0156_02;1.0
94081CM0156_03;1.0
94081CN0002_01;1.0
94081CN0002_02;1.0
94081CN0002_03;1.0
94081CN0003_01;1.0
94081CN0003_02;1.0
94081CN0003_03;1.0
94081CN0032_01;1.0
94081CN0032_02;1.0
94081CN0092_01;1.0
94081CN0092_02;1.0
94081CN0096_01;1.0
94081CN0096_02;1.0
94081CN0096_03;1.0
94081CN0096_06;1.0
94081CN0096_17;1.0
94081CN0096_19;1.0
94081CO0175_01;1.0
94081CO0177_01;1.0
94081CU0141_01;1.0
94081CU0141_02;1.0
94081CU0288_01;1.0
94081CU0299_01;1.0
94081CU0314_01;1.0
94081CU0314_03;1.0
94081DI0005_02;1.0
94081DI0024_03;1.0
94081DI0024_04;1.0
94081DI0027_02;1.0
94081DI0027_05;1.0
94081DI0027_08;1.0
94081DI0027_10;1.0
94081DI0027_13;1.0
94081DI0027_15;1.0
94028BD0046_01;1.0
94028BD0047_01;1.0
94028BD0048_01;1.0
94028BD0049_01;2.0
94028BD0049_02;1.0
94028BD0050_01;2.0
94028BD0055_01;1.0
94028BD0056_01;1.0
94028BD0057_01;2.0
94028BD0058_01;1.0
94028BD0058_02;2.0
94028BD0060_01;1.0
94028BD0060_02;1.0
94028BD0064_01;1.0
94028BD0065_01;1.0
94028BD0065_02;2.0
94028BD0098_01;1.0
94028BD0100_01;1.0
94028BD0100_02;1.0
94028BD0183_01;1.0
94028BD0210_01;1.0
94028BD0272_01;1.0
94028BD0294_01;1.0
94028BD0295_01;1.0
94028BE0188_01;1.0
94028BE0493_01;1.0
94028BE0516_01;1.0
94028BE0518_05;1.0
94028BE0523_01;1.0
94028BE0523_03;1.0
94028BE0534_01;1.0
94028BE0644_01;2.0
94028BF0087_01;2.0
94028BF0087_02;2.0
94028BF0157_01;1.0
94028BF0157_02;1.0
94028BF0158_01;1.0
94028BF0158_02;1.0
94028BF0159_01;1.0
94028BF0159_02;1.0
94028BF0159_03;1.0
94028BF0210_01;1.0
94028BF0234_01;1.0
94028BF0252_01;1.0
94028BF0253_01;1.0
94028BF0258_01;1.0
94028BF0258_02;1.0
94028BF0272_01;1.0
94028BF0272_02;1.0
94028BF0273_03;1.0
94028BF0283_01;1.0
94028BF0283_05;1.0
94046BH0029_01;1.0
94046BH0030_02;2.0
94046BH0031_02;1.0
94046BH0033_01;2.0
94046BH0036_03;2.0
94046BH0037_01;2.0
94046BH0037_03;2.0
94046BH0038_01;1.0
94046BH0042_02;1.0
94046BH0052_01;1.0
94046BH0053_02;1.0
94046BI0001_03;1.0
94046BI0001_04;1.0
94046BI0001_05;1.0
94046BI0025_01;1.0
94046BI0036_01;2.0
940760U0032_01;1.0
940760U0033_01;1.0
940760U0037_01;1.0
940760U0138_01;1.0
940760U0139_01;1.0
940760U0156_01;1.0
940760U0167_01;1.0
940760U0170_01;1.0
940760U0172_01;1.0
940760U0174_01;1.0
940760U0176_01;1.0
940760U0180_01;2.0
940760V0152_01;1.0
940760V0180_01;1.0
940760V0278_01;1.0
940760V0280_01;1.0
940760V0281_01;1.0
940760V0313_01;1.0
94076AZ0072_01;1.0
94076AZ0072_02;1.0
94076AZ0073_01;1.0
94076AZ0074_01;1.0
94076AZ0075_01;2.0
94076AZ0076_01;1.0
94076AZ0077_01;2.0
94076AZ0078_01;1.0
94076AZ0079_01;1.0
94076AZ0081_01;1.0
