ID;code;PK;x;y;top;base
DEM;DEM;2122088;1659996.62;8177877.58;45.84;45.84
R (3);R;2122088;1659996.62;8177877.58;45.84;43.34
Aa (11);Aa;2122088;1659996.62;8177877.58;43.34;40.85
SO2 (1);SO2;2122088;1659996.62;8177877.58;40.85;35.37
SB;SB;2122088;1659996.62;8177877.58;35.37;31.32
MCa;MCa;2122088;1659996.62;8177877.58;31.32;22.07
MC;MC;2122088;1659996.62;8177877.58;22.07;15.81
CG;CG;2122088;1659996.62;8177877.58;15.81;-6.51
SS (2);SS;2122088;1659996.62;8177877.58;-6.51;-6.83
FG;FG;2122088;1659996.62;8177877.58;-6.83;-10.82
AP;AP;2122088;1659996.62;8177877.58;-10.82;-13.4
DEM;DEM;2122098;1659987.27;8177874.04;45.8;45.8
R (3);R;2122098;1659987.27;8177874.04;45.8;43.56
Aa (11);Aa;2122098;1659987.27;8177874.04;43.56;40.95
SO2 (1);SO2;2122098;1659987.27;8177874.04;40.95;35.24
SB;SB;2122098;1659987.27;8177874.04;35.24;31.32
MCa;MCa;2122098;1659987.27;8177874.04;31.32;21.83
MC;MC;2122098;1659987.27;8177874.04;21.83;15.13
CG;CG;2122098;1659987.27;8177874.04;15.13;-6.91
SS (2);SS;2122098;1659987.27;8177874.04;-6.91;-6.93
FG;FG;2122098;1659987.27;8177874.04;-6.93;-10.94
AP;AP;2122098;1659987.27;8177874.04;-10.94;-13.52
DEM;DEM;2122108;1659977.92;8177870.51;45.75;45.75
R (3);R;2122108;1659977.92;8177870.51;45.75;43.15
Aa (11);Aa;2122108;1659977.92;8177870.51;43.15;41.05
SO2 (1);SO2;2122108;1659977.92;8177870.51;41.05;35.14
SB;SB;2122108;1659977.92;8177870.51;35.14;31.32
MCa;MCa;2122108;1659977.92;8177870.51;31.32;21.66
MC;MC;2122108;1659977.92;8177870.51;21.66;14.28
CG;CG;2122108;1659977.92;8177870.51;14.28;-7.49
FG;FG;2122108;1659977.92;8177870.51;-7.49;-11.05
AP;AP;2122108;1659977.92;8177870.51;-11.05;-13.63
DEM;DEM;2122118;1659968.56;8177866.97;45.7;45.7
