ID;Descrizione;PK;x;y;z
Raccordo - Profilo progetto;;2150000.00;1656233.15;8175938.63;10.00
Raccordo - Profilo progetto;;2150010.00;1656223.16;8175938.05;10.00
Raccordo - Profilo progetto;;2150020.00;1656213.17;8175937.79;10.00
Raccordo - Profilo progetto;;2150030.00;1656203.17;8175937.87;10.00
Raccordo - Profilo progetto;;2150040.00;1656193.18;8175938.28;10.00
Raccordo - Profilo progetto;;2150050.00;1656183.21;8175939.03;10.00
Raccordo - Profilo progetto;;2150060.00;1656173.26;8175940.11;10.00
Raccordo - Profilo progetto;;2150070.00;1656163.37;8175941.53;10.00
Raccordo - Profilo progetto;;2150080.00;1656153.53;8175943.35;10.00
Raccordo - Profilo progetto;;2150090.00;1656143.79;8175945.61;10.00
Raccordo - Profilo progetto;;2150100.00;1656134.18;8175948.34;10.00
Raccordo - Profilo progetto;;2150110.00;1656124.71;8175951.56;10.00
Raccordo - Profilo progetto;;2150120.00;1656115.41;8175955.25;10.00
Raccordo - Profilo progetto;;2150130.00;1656106.31;8175959.39;9.98
Raccordo - Profilo progetto;;2150140.00;1656097.43;8175963.99;9.95
Raccordo - Profilo progetto;;2150150.00;1656088.79;8175969.02;9.90
Raccordo - Profilo progetto;;2150160.00;1656080.42;8175974.48;9.85
Raccordo - Profilo progetto;;2150170.00;1656072.32;8175980.35;9.80
Raccordo - Profilo progetto;;2150180.00;1656064.53;8175986.61;9.75
Raccordo - Profilo progetto;;2150190.00;1656057.06;8175993.26;9.70
Raccordo - Profilo progetto;;2150200.00;1656049.94;8176000.28;9.65
Raccordo - Profilo progetto;;2150210.00;1656043.17;8176007.64;9.60
Raccordo - Profilo progetto;;2150220.00;1656036.78;8176015.33;9.55
Raccordo - Profilo progetto;;2150230.00;1656030.78;8176023.33;9.50
Raccordo - Profilo progetto;;2150240.00;1656025.19;8176031.62;9.45
Raccordo - Profilo progetto;;2150250.00;1656020.02;8176040.18;9.40
Raccordo - Profilo progetto;;2150260.00;1656015.28;8176048.98;9.35
Raccordo - Profilo progetto;;2150270.00;1656011.00;8176058.02;9.30
Raccordo - Profilo progetto;;2150280.00;1656007.16;8176067.25;9.25
Raccordo - Profilo progetto;;2150290.00;1656003.80;8176076.67;9.20
Raccordo - Profilo progetto;;2150300.00;1656000.91;8176086.24;9.15
Raccordo - Profilo progetto;;2150310.00;1655998.50;8176095.94;9.10
Raccordo - Profilo progetto;;2150320.00;1655996.58;8176105.76;9.05
Raccordo - Profilo progetto;;2150330.00;1655995.15;8176115.65;9.00
Raccordo - Profilo progetto;;2150340.00;1655994.21;8176125.61;8.95
Raccordo - Profilo progetto;;2150350.00;1655993.78;8176135.60;8.90
Raccordo - Profilo progetto;;2150360.00;1655993.85;8176145.60;8.85
Raccordo - Profilo progetto;;2150370.00;1655994.41;8176155.58;8.80
Raccordo - Profilo progetto;;2150380.00;1655995.48;8176165.52;8.75
Raccordo - Profilo progetto;;2150390.00;1655997.04;8176175.40;8.70
Raccordo - Profilo progetto;;2150400.00;1655999.09;8176185.18;8.65
Raccordo - Profilo progetto;;2150410.00;1656001.63;8176194.85;8.60
Raccordo - Profilo progetto;;2150420.00;1656004.65;8176204.39;8.55
Raccordo - Profilo progetto;;2150430.00;1656008.14;8176213.76;8.50
Raccordo - Profilo progetto;;2150440.00;1656012.09;8176222.94;8.45
Raccordo - Profilo progetto;;2150450.00;1656016.50;8176231.92;8.40
Raccordo - Profilo progetto;;2150460.00;1656021.35;8176240.66;8.35
Raccordo - Profilo progetto;;2150470.00;1656026.64;8176249.15;8.30
Raccordo - Profilo progetto;;2150480.00;1656032.34;8176257.36;8.25
Raccordo - Profilo progetto;;2150490.00;1656038.44;8176265.28;8.20
Raccordo - Profilo progetto;;2150500.00;1656044.93;8176272.89;8.15
Raccordo - Profilo progetto;;2150510.00;1656051.80;8176280.16;8.10
Raccordo - Profilo progetto;;2150520.00;1656059.02;8176287.08;8.05
Raccordo - Profilo progetto;;2150530.00;1656066.57;8176293.62;8.00
Raccordo - Profilo progetto;;2150540.00;1656074.45;8176299.79;7.95
Raccordo - Profilo progetto;;2150550.00;1656082.62;8176305.55;7.90
