ID_bati;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base;Classe de dommage - Vibration;Vulnérablité - Vibration;Vitessse de vibration
94002AF0161_01;2124557.12833;2124569.08478;-26.3207040894;-17.1030956259;None;None;None;None;1.0;1.0;1.0;1.68330992988;0.0922166765398;0.0252425971058;1.0;1.0;1.68330992988;0.0922166765398;0.0252425971058;1.0;1.0;0.0629391007317
94002AJ0014_01;2125125.91973;2125139.20944;40.169066746;52.8405347174;None;None;None;None;2.0;1.0;1.0;0.171522021012;0.0232838396753;0.0204102583586;1.0;1.0;0.171522021012;0.0232838396753;0.0204102583586;1.0;1.0;0.0516563073067
94002AJ0016_01;2125130.32807;2125169.36301;14.2847882486;44.3955004319;None;None;None;None;1.0;1.0;1.0;3.5626064948;0.255263830944;0.0557968243748;1.0;1.0;3.5626064948;0.255263830944;0.0557968243748;1.0;1.0;0.134234198148
94002AJ0059_01;2125175.5068;2125195.50364;-41.2512154131;-21.1955920532;None;None;None;None;1.0;1.0;1.0;2.26164183521;0.217509258912;0.0681174432282;1.0;1.0;2.26164183521;0.217509258912;0.0681174432282;1.0;1.0;0.0509690906786
94002AJ0059_02;2125166.47941;2125185.48922;-31.4884146376;-11.7697041334;None;None;None;None;1.0;1.0;1.0;4.56076371339;0.270943993851;0.065732839018;1.0;1.0;4.56076371339;0.270943993851;0.065732839018;1.0;1.0;0.0666912791374
94002AJ0060_01;2125169.56449;2125185.50901;-48.2571358147;-32.4978718765;None;None;None;None;1.0;1.0;1.0;0.584998818456;0.0760299551888;0.0505064169854;1.0;1.0;0.584998818456;0.0760299551888;0.0505064169854;1.0;1.0;0.0428681946708
94002AJ0061_01;2125162.69568;2125178.6357;-55.2930932436;-39.5504413773;None;None;None;None;1.0;1.0;1.0;0.218860636274;0.0326781898462;0.0299898913762;1.0;1.0;0.218860636274;0.0326781898462;0.0299898913762;1.0;1.0;0.0365918000865
94002AJ0062_01;2125155.47108;2125171.75374;-62.5102469492;-46.4763794839;None;None;None;None;1.0;1.0;1.0;0.0748497200547;0.0122829701527;0.0142517813976;1.0;1.0;0.0748497200547;0.0122829701527;0.0142517813976;1.0;1.0;0.0315561416065
94002AJ0085_01;2125043.06255;2125056.67848;-26.6031540579;-10.5705302585;None;None;None;None;3.0;1.0;2.0;2.84047667477;0.137682978988;0.0389188372395;1.0;2.0;2.84047667477;0.137682978988;0.0389188372395;1.0;2.0;0.0697666984251
94002AJ0085_02;2125030.98237;2125050.16583;-44.7614157806;-15.462916572;None;None;None;None;3.0;1.0;2.0;2.28885341897;0.141118799564;0.0432914476567;1.0;2.0;2.28885341897;0.141118799564;0.0432914476567;1.0;2.0;0.0425454997253
