file_name;bldg_code;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden_tun_dem;depth_fondation;z_fondation;overburden_tun_bldg;d_min_range;angle_bldg_tun;stories_underground_no;stories_overground_no;nb_de_niveaux;sc_vbr_lev;footprint;height_overground;typology;pk_min;pk_max;d_min;d_max
94002AE0083_01_SEN_ind01.pdf;94002AE0083_01;94002AE0083;1;1;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;;2;10 X 9;6;building;;;;
94002AE0084_01_SEN_ind01.pdf;94002AE0084_01;94002AE0084;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;2;9 X 6;5;building;;;;
94002AE0085_01_SEN_ind01.pdf;94002AE0085_01;94002AE0085;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;2;11 X 10;5;building;;;;
94002AE0087_01_SEN_ind01.pdf;94002AE0087_01;94002AE0087;1;1;35;5;30;1;34;29;Au dessus de l'axe;entre 60 et 90;1;0;1;2;11 X 10;5;building;;;;
94002AE0088_01_SEN_ind01.pdf;94002AE0088_01;94002AE0088;1;1;35;5;30;0;;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;1;1;2;13 X 8;5;building;;;;
94002AE0088_02_SEN_ind01.pdf;94002AE0088_02;94002AE0088;2;1;35;5;30;0;35;30;Au-dessus de l'axe;entre 60 et 90;Non dtermin;1;1;2;13 X 8;5;building;;;;
94002AE0091_01_SEN_ind01.pdf;94002AE0091_01;94002AE0091;1;1;35;5;30;0;;non dtermin;40m < D <= 50m;entre 60 et 90;Non dtermin;1;;2;20 X 18;6;building;;;;
94002AE0099_01_SEN_ind01.pdf;94002AE0099_01;94002AE0099;1;1;35;5;30;0;;non dtermin;10m < D <= 20m;entre 60 et 90;Non dtermin;1;1;2;10 X 10;7;building;;;;
94002AE0100_01_SEN_ind01.pdf;94002AE0100_01;94002AE0100;1;1;35;5;30;1;34;29;10m < D <= 20m;<30;1;1;0;2;11 X 11;7;building;;;;
94002AE0101_01_SEN_ind01.pdf;94002AE0101_01;94002AE0101;1;2;35;5;30;3;32;27;10m < D <= 20m;entre 60 et 90;1;1;1;1;12 X 10;7;building;;;;
94002AE0174_01_SEN_ind01.pdf;94002AE0174_01;94002AE0174;1;1;35;5;30;0;35;30;30m < D <= 40m;entre 30 et 60;0;0;0;2;21 X 9;3;building;;;;
94002AE0175_01_SEN_ind01.pdf;94002AE0175_01;94002AE0175;1;1;35;5;30;3;32;27;20m < D <= 30m;entre 60 et 90;Non dtermin;4;0;2;30 X 25;16;building;;;;
94002AF0031_01_SEN_ind01.pdf;94002AF0031_01;94002AF0031;1;1;35;5;30;3;32;27;0m < D <= 10m;<30;1;1;;2;16 X 5;7;building;;;;
94002AF0033_01_SEN_ind01.pdf;94002AF0033_01;94002AF0033;1;1;35;5;30;0;35;30;10m < D <= 20m;;0;2;0;2;11 X 7;8;building;;;;
94002AF0034_01_SEN_ind01.pdf;94002AF0034_01;94002AF0034;1;2;35;5;30;0;;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;1;1;1;11 X 9;6;building;;;;
94002AF0035_01_SEN_ind01.pdf;94002AF0035_01;94002AF0035;1;2;35;5;30;3;32;27;40m < D <= 50m;entre 60 et 90;1;1;0;1;9 X 9;5;building;;;;
94002AF0051_01_SEN_ind01.pdf;94002AF0051_01;94002AF0051;1;1;35;5;30;0;;non dtermin;30m < D <= 40m;<30;Non dtermin;1;1;2;12 X 9;6;building;;;;
94002AF0051_02_SEN_ind01.pdf;94002AF0051_02;94002AF0051;2;1;35;5;30;0;;non dtermin;40m < D <= 50m;<30;Non dtermin;1;1;2;7 X 7;6;building;;;;
94002AF0054_01_SEN_ind01.pdf;94002AF0054_01;94002AF0054;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;2;10 X 10;5;building;;;;
94002AF0055_01_SEN_ind01.pdf;94002AF0055_01;94002AF0055;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;2;10 X 10;5;building;;;;
94002AF0057_01_SEN_ind01.pdf;94002AF0057_01;94002AF0057;1;1;35;5;30;0;;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;2;;2;10 X 7;9;building;;;;
94002AF0058_01_SEN_ind01.pdf;94002AF0058_01;94002AF0058;1;1;35;5;30;0;35;30;0m < D <= 10m;entre 60 et 90;0;0;0;2;23 X 6;3;building;;;;
94002AF0060_01_SEN_ind01.pdf;94002AF0060_01;94002AF0060;1;1;35;5;30;0;;non dtermin;20m < D <= 30m;entre 60 et 90;Non dtermin;1;;2;10 X 5;7;building;;;;
94002AF0125_01_SEN_ind01.pdf;94002AF0125_01;94002AF0125;1;1;35;5;30;1;34;29;20m < D <= 30m;<30;1;2;1;2;11 X 9;7;building;;;;
94002AF0128_01_SEN_ind01.pdf;94002AF0128_01;94002AF0128;1;1;35;5;30;0;35;30;0m < D <= 10m;entre 30 et 60;0;2;0;2;11 X 10;8;building;;;;
94002AF0134_01_SEN_ind01.pdf;94002AF0134_01;94002AF0134;1;1;35;5;30;1;34;29;0m < D <= 10m;<30;1;0;0;2;14 X 4;4;building;;;;
