ID;Descrizione;PK;x;y;z
Falda;Falda;2121678;1660349.46;8178083.51;30.68
Falda;Falda;2121688;1660340.41;8178079.25;30.68
Falda;Falda;2121698;1660331.43;8178074.86;30.69
Falda;Falda;2121708;1660322.51;8178070.33;30.69
Falda;Falda;2121718;1660313.67;8178065.66;30.69
Falda;Falda;2121728;1660304.9;8178060.85;30.7
Falda;Falda;2121738;1660296.2;8178055.91;30.7
Falda;Falda;2121748;1660287.58;8178050.84;30.7
Falda;Falda;2121758;1660279.04;8178045.64;30.71
Falda;Falda;2121768;1660270.58;8178040.31;30.71
Falda;Falda;2121778;1660262.19;8178034.88;30.71
Falda;Falda;2121788;1660253.85;8178029.35;30.72
Falda;Falda;2121798;1660245.58;8178023.74;30.72
Falda;Falda;2121808;1660237.34;8178018.07;30.72
Falda;Falda;2121818;1660229.14;8178012.35;30.73
Falda;Falda;2121828;1660220.96;8178006.59;30.73
Falda;Falda;2121838;1660212.81;8178000.8;30.73
Falda;Falda;2121848;1660204.65;8177995.02;30.74
Falda;Falda;2121858;1660196.5;8177989.23;30.74
Falda;Falda;2121868;1660188.35;8177983.44;30.74
Falda;Falda;2121878;1660180.19;8177977.64;30.75
Falda;Falda;2121888;1660172.04;8177971.85;30.75
Falda;Falda;2121898;1660163.89;8177966.06;30.75
Falda;Falda;2121908;1660155.72;8177960.29;30.76
Falda;Falda;2121918;1660147.54;8177954.54;30.76
Falda;Falda;2121928;1660139.31;8177948.86;30.76
Falda;Falda;2121938;1660131.03;8177943.26;30.77
Falda;Falda;2121948;1660122.67;8177937.77;30.77
Falda;Falda;2121958;1660114.22;8177932.42;30.77
Falda;Falda;2121968;1660105.67;8177927.24;30.78
Falda;Falda;2121978;1660097.01;8177922.22;30.78
Falda;Falda;2121988;1660088.26;8177917.38;30.78
Falda;Falda;2121998;1660079.42;8177912.72;30.79
Falda;Falda;2122008;1660070.48;8177908.23;30.79
Falda;Falda;2122018;1660061.46;8177903.92;30.79
Falda;Falda;2122028;1660052.35;8177899.79;30.8
Falda;Falda;2122038;1660043.17;8177895.83;30.8
Falda;Falda;2122048;1660033.93;8177892.01;30.8
Falda;Falda;2122058;1660024.64;8177888.3;30.81
Falda;Falda;2122068;1660015.32;8177884.68;30.81
Falda;Falda;2122078;1660005.98;8177881.11;30.81
Falda;Falda;2122088;1659996.62;8177877.58;30.82
Falda;Falda;2122098;1659987.27;8177874.04;30.82
Falda;Falda;2122108;1659977.92;8177870.51;30.82
Falda;Falda;2122118;1659968.56;8177866.97;30.83
Falda;Falda;2122128;1659959.21;8177863.44;30.83
Falda;Falda;2122138;1659949.85;8177859.91;30.83
Falda;Falda;2122148;1659940.5;8177856.37;30.84
Falda;Falda;2122158;1659931.14;8177852.84;30.84
Falda;Falda;2122168;1659921.79;8177849.31;30.84
Falda;Falda;2122178;1659912.43;8177845.77;30.85
Falda;Falda;2122188;1659903.08;8177842.24;30.85
Falda;Falda;2122198;1659893.72;8177838.71;30.85
Falda;Falda;2122208;1659884.37;8177835.17;30.86
Falda;Falda;2122218;1659875.01;8177831.64;30.86
Falda;Falda;2122228;1659865.67;8177828.07;30.85
Falda;Falda;2122238;1659856.36;8177824.42;30.84
Falda;Falda;2122248;1659847.1;8177820.63;30.82
Falda;Falda;2122258;1659837.93;8177816.67;30.81
Falda;Falda;2122268;1659828.85;8177812.47;30.79
Falda;Falda;2122278;1659819.91;8177807.99;30.78
Falda;Falda;2122288;1659811.12;8177803.22;30.76
Falda;Falda;2122298;1659802.49;8177798.16;30.75
Falda;Falda;2122308;1659794.04;8177792.82;30.73
Falda;Falda;2122318;1659785.77;8177787.2;30.72
Falda;Falda;2122328;1659777.69;8177781.31;30.7
Falda;Falda;2122338;1659769.81;8177775.16;30.69
Falda;Falda;2122348;1659762.13;8177768.75;30.67
Falda;Falda;2122358;1659754.68;8177762.08;30.66
Falda;Falda;2122368;1659747.45;8177755.18;30.64
Falda;Falda;2122378;1659740.45;8177748.04;30.63
Falda;Falda;2122388;1659733.69;8177740.67;30.61
Falda;Falda;2122398;1659727.18;8177733.08;30.6
Falda;Falda;2122408;1659720.92;8177725.27;30.58
Falda;Falda;2122418;1659714.93;8177717.27;30.57
Falda;Falda;2122428;1659709.2;8177709.07;30.55
Falda;Falda;2122438;1659703.75;8177700.69;30.54
Falda;Falda;2122448;1659698.58;8177692.13;30.52
Falda;Falda;2122458;1659693.68;8177683.42;30.51
Falda;Falda;2122468;1659688.99;8177674.58;30.49
Falda;Falda;2122478;1659684.48;8177665.66;30.48
Falda;Falda;2122488;1659680.09;8177656.67;30.46
Falda;Falda;2122498;1659675.78;8177647.65;30.45
Falda;Falda;2122508;1659671.5;8177638.61;30.43
Falda;Falda;2122518;1659667.21;8177629.58;30.42
Falda;Falda;2122528;1659662.93;8177620.54;30.4
Falda;Falda;2122538;1659658.65;8177611.5;30.39
Falda;Falda;2122548;1659654.37;8177602.46;30.37
Falda;Falda;2122558;1659650.09;8177593.43;30.36
Falda;Falda;2122568;1659645.81;8177584.39;30.37
Falda;Falda;2122578;1659641.53;8177575.35;30.39
Falda;Falda;2122588;1659637.25;8177566.31;30.4
Falda;Falda;2122598;1659633.02;8177557.25;30.41
Falda;Falda;2122608;1659628.9;8177548.14;30.42
Falda;Falda;2122618;1659624.97;8177538.95;30.43
Falda;Falda;2122628;1659621.27;8177529.65;30.44
Falda;Falda;2122638;1659617.81;8177520.27;30.45
Falda;Falda;2122648;1659614.58;8177510.81;30.46
Falda;Falda;2122658;1659611.58;8177501.27;30.47
Falda;Falda;2122668;1659608.82;8177491.66;30.48
Falda;Falda;2122678;1659606.27;8177481.99;30.5
Falda;Falda;2122688;1659603.84;8177472.29;30.51
Falda;Falda;2122698;1659601.45;8177462.58;30.52
Falda;Falda;2122708;1659599.06;8177452.87;30.53
Falda;Falda;2122718;1659596.68;8177443.16;30.54
Falda;Falda;2122728;1659594.29;8177433.45;30.55
