ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2125278;1657549.05;8176472.1;0.17
Profilo Progetto;Profilo Progetto;2125288;1657540.71;8176466.58;0.26
Profilo Progetto;Profilo Progetto;2125298;1657532.37;8176461.06;0.36
Profilo Progetto;Profilo Progetto;2125308;1657524.04;8176455.54;0.47
Profilo Progetto;Profilo Progetto;2125318;1657515.7;8176450.01;0.57
Profilo Progetto;Profilo Progetto;2125328;1657507.36;8176444.49;0.68
Profilo Progetto;Profilo Progetto;2125338;1657499.03;8176438.97;0.79
Profilo Progetto;Profilo Progetto;2125348;1657490.69;8176433.45;0.9
Profilo Progetto;Profilo Progetto;2125358;1657482.35;8176427.92;1
Profilo Progetto;Profilo Progetto;2125368;1657474.01;8176422.4;1.11
Profilo Progetto;Profilo Progetto;2125378;1657465.67;8176416.89;1.22
Profilo Progetto;Profilo Progetto;2125388;1657457.32;8176411.4;1.33
Profilo Progetto;Profilo Progetto;2125398;1657448.95;8176405.92;1.44
Profilo Progetto;Profilo Progetto;2125408;1657440.56;8176400.47;1.54
Profilo Progetto;Profilo Progetto;2125418;1657432.15;8176395.06;1.65
Profilo Progetto;Profilo Progetto;2125428;1657423.72;8176389.69;1.76
Profilo Progetto;Profilo Progetto;2125438;1657415.26;8176384.35;1.87
Profilo Progetto;Profilo Progetto;2125448;1657406.78;8176379.05;1.98
Profilo Progetto;Profilo Progetto;2125458;1657398.28;8176373.79;2.08
Profilo Progetto;Profilo Progetto;2125468;1657389.75;8176368.57;2.19
Profilo Progetto;Profilo Progetto;2125478;1657381.2;8176363.39;2.3
Profilo Progetto;Profilo Progetto;2125488;1657372.62;8176358.24;2.41
Profilo Progetto;Profilo Progetto;2125498;1657364.03;8176353.12;2.52
Profilo Progetto;Profilo Progetto;2125508;1657355.43;8176348.02;2.62
Profilo Progetto;Profilo Progetto;2125518;1657346.82;8176342.94;2.73
Profilo Progetto;Profilo Progetto;2125528;1657338.2;8176337.87;2.84
Profilo Progetto;Profilo Progetto;2125538;1657329.58;8176332.8;2.95
Profilo Progetto;Profilo Progetto;2125548;1657320.96;8176327.73;3.06
Profilo Progetto;Profilo Progetto;2125558;1657312.34;8176322.66;3.16
Profilo Progetto;Profilo Progetto;2125568;1657303.72;8176317.59;3.27
Profilo Progetto;Profilo Progetto;2125578;1657295.1;8176312.52;3.38
Profilo Progetto;Profilo Progetto;2125588;1657286.48;8176307.45;3.49
Profilo Progetto;Profilo Progetto;2125598;1657277.86;8176302.38;3.6
Profilo Progetto;Profilo Progetto;2125608;1657269.25;8176297.31;3.7
Profilo Progetto;Profilo Progetto;2125618;1657260.63;8176292.24;3.81
Profilo Progetto;Profilo Progetto;2125628;1657252.01;8176287.17;3.92
Profilo Progetto;Profilo Progetto;2125638;1657243.39;8176282.1;4.03
Profilo Progetto;Profilo Progetto;2125648;1657234.77;8176277.03;4.14
Profilo Progetto;Profilo Progetto;2125658;1657226.15;8176271.96;4.24
Profilo Progetto;Profilo Progetto;2125668;1657217.53;8176266.89;4.35
Profilo Progetto;Profilo Progetto;2125678;1657208.91;8176261.82;4.46
Profilo Progetto;Profilo Progetto;2125688;1657200.29;8176256.75;4.57
Profilo Progetto;Profilo Progetto;2125698;1657191.67;8176251.68;4.68
Profilo Progetto;Profilo Progetto;2125708;1657183.05;8176246.61;4.78
Profilo Progetto;Profilo Progetto;2125718;1657174.43;8176241.54;4.89
Profilo Progetto;Profilo Progetto;2125728;1657165.81;8176236.47;4.98
Profilo Progetto;Profilo Progetto;2125738;1657157.19;8176231.4;5.06
Profilo Progetto;Profilo Progetto;2125748;1657148.57;8176226.33;5.15
Profilo Progetto;Profilo Progetto;2125758;1657139.95;8176221.25;5.23
Profilo Progetto;Profilo Progetto;2125768;1657131.34;8176216.17;5.31
Profilo Progetto;Profilo Progetto;2125778;1657122.75;8176211.05;5.39
Profilo Progetto;Profilo Progetto;2125788;1657114.19;8176205.89;5.47
Profilo Progetto;Profilo Progetto;2125798;1657105.66;8176200.67;5.56
Profilo Progetto;Profilo Progetto;2125808;1657097.17;8176195.38;5.64
Profilo Progetto;Profilo Progetto;2125818;1657088.74;8176190;5.72
Profilo Progetto;Profilo Progetto;2125828;1657080.37;8176184.53;5.8
Profilo Progetto;Profilo Progetto;2125838;1657072.05;8176178.98;5.88
Profilo Progetto;Profilo Progetto;2125848;1657063.8;8176173.34;5.97
Profilo Progetto;Profilo Progetto;2125858;1657055.6;8176167.61;6.05
Profilo Progetto;Profilo Progetto;2125868;1657047.46;8176161.79;6.13
Profilo Progetto;Profilo Progetto;2125878;1657039.39;8176155.9;6.21
Profilo Progetto;Profilo Progetto;2125888;1657031.38;8176149.91;6.29
Profilo Progetto;Profilo Progetto;2125898;1657023.42;8176143.85;6.38
Profilo Progetto;Profilo Progetto;2125908;1657015.51;8176137.74;6.46
Profilo Progetto;Profilo Progetto;2125918;1657007.64;8176131.57;6.54
Profilo Progetto;Profilo Progetto;2125928;1656999.79;8176125.38;6.62
Profilo Progetto;Profilo Progetto;2125938;1656991.95;8176119.16;6.7
Profilo Progetto;Profilo Progetto;2125948;1656984.12;8176112.94;6.79
Profilo Progetto;Profilo Progetto;2125958;1656976.29;8176106.72;6.87
Profilo Progetto;Profilo Progetto;2125968;1656968.46;8176100.5;6.95
Profilo Progetto;Profilo Progetto;2125978;1656960.63;8176094.28;7.03
Profilo Progetto;Profilo Progetto;2125988;1656952.8;8176088.06;7.11
Profilo Progetto;Profilo Progetto;2125998;1656944.97;8176081.84;7.2
Profilo Progetto;Profilo Progetto;2126008;1656937.13;8176075.63;7.28
Profilo Progetto;Profilo Progetto;2126018;1656929.28;8176069.45;7.36
Profilo Progetto;Profilo Progetto;2126028;1656921.38;8176063.31;7.44
Profilo Progetto;Profilo Progetto;2126038;1656913.42;8176057.26;7.52
Profilo Progetto;Profilo Progetto;2126048;1656905.38;8176051.31;7.61
Profilo Progetto;Profilo Progetto;2126058;1656897.25;8176045.49;7.69
Profilo Progetto;Profilo Progetto;2126068;1656889.01;8176039.82;7.77
Profilo Progetto;Profilo Progetto;2126078;1656880.65;8176034.34;7.85
Profilo Progetto;Profilo Progetto;2126088;1656872.15;8176029.07;7.93
Profilo Progetto;Profilo Progetto;2126098;1656863.53;8176024.01;8.02
Profilo Progetto;Profilo Progetto;2126108;1656854.78;8176019.16;8.1
Profilo Progetto;Profilo Progetto;2126118;1656845.91;8176014.54;8.18
Profilo Progetto;Profilo Progetto;2126128;1656836.94;8176010.13;8.26
Profilo Progetto;Profilo Progetto;2126138;1656827.85;8176005.95;8.34
Profilo Progetto;Profilo Progetto;2126148;1656818.66;8176002;8.43
Profilo Progetto;Profilo Progetto;2126158;1656809.38;8175998.28;8.51
Profilo Progetto;Profilo Progetto;2126168;1656800.01;8175994.79;8.59
Profilo Progetto;Profilo Progetto;2126178;1656790.56;8175991.54;8.67
Profilo Progetto;Profilo Progetto;2126188;1656781.02;8175988.52;8.75
Profilo Progetto;Profilo Progetto;2126198;1656771.42;8175985.74;8.84
Profilo Progetto;Profilo Progetto;2126208;1656761.75;8175983.2;8.92
Profilo Progetto;Profilo Progetto;2126218;1656752.01;8175980.9;9
Profilo Progetto;Profilo Progetto;2126228;1656742.23;8175978.85;9.08
Profilo Progetto;Profilo Progetto;2126238;1656732.39;8175977.04;9.16
Profilo Progetto;Profilo Progetto;2126248;1656722.52;8175975.46;9.25
Profilo Progetto;Profilo Progetto;2126258;1656712.61;8175974.09;9.33
Profilo Progetto;Profilo Progetto;2126268;1656702.68;8175972.91;9.41
Profilo Progetto;Profilo Progetto;2126278;1656692.74;8175971.87;9.49
Profilo Progetto;Profilo Progetto;2126288;1656682.78;8175970.94;9.57
Profilo Progetto;Profilo Progetto;2126298;1656672.82;8175970.11;9.66
Profilo Progetto;Profilo Progetto;2126308;1656662.85;8175969.33;9.74
Profilo Progetto;Profilo Progetto;2126318;1656652.87;8175968.57;9.82
