ID;Descrizione;PK;Excavation Radius;Lining Internal Radius;Lining Thickness;Lining Offset
Profilo Progetto;Sezione Base;2122078;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122088;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122098;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122108;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122118;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122128;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122138;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122148;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122158;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122168;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122178;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122188;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122198;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122208;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122218;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122228;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122238;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122248;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122258;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122268;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122278;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122288;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122298;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122308;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122318;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122328;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122338;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122348;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122358;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122368;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122378;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122388;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122398;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122408;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122418;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122428;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122438;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122448;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122458;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122468;4.9;4.35;0.4;2.16
Profilo Progetto;Sezione Base;2122478;4.9;4.35;0.4;2.16
