ID;Descrizione;PK;x;y;top;base
DEM (1);DEM;2150010.00;1656223.16;8175938.05;34.60;34.60
R (4);R;2150010.00;1656223.16;8175938.05;34.60;31.73
Aa (15);Aa;2150010.00;1656223.16;8175938.05;31.73;25.98
MIG (13);MIG;2150010.00;1656223.16;8175938.05;25.98;20.33
SO2 (2);SO2;2150010.00;1656223.16;8175938.05;20.33;8.40
SB (1);SB;2150010.00;1656223.16;8175938.05;8.40;3.18
MCA;MCA;2150010.00;1656223.16;8175938.05;3.18;1.02
MC;MC;2150010.00;1656223.16;8175938.05;1.02;-16.38
CG (1);CG;2150010.00;1656223.16;8175938.05;-16.38;-19.44
DEM (1);DEM;2150020.00;1656213.17;8175937.79;34.74;34.74
R (4);R;2150020.00;1656213.17;8175937.79;34.74;31.63
Aa (15);Aa;2150020.00;1656213.17;8175937.79;31.63;26.29
MIG (13);MIG;2150020.00;1656213.17;8175937.79;26.29;20.43
SO2 (2);SO2;2150020.00;1656213.17;8175937.79;20.43;8.49
SB (1);SB;2150020.00;1656213.17;8175937.79;8.49;3.17
MCA;MCA;2150020.00;1656213.17;8175937.79;3.17;1.05
MC;MC;2150020.00;1656213.17;8175937.79;1.05;-16.53
CG (1);CG;2150020.00;1656213.17;8175937.79;-16.53;-19.81
DEM (1);DEM;2150030.00;1656203.17;8175937.87;34.85;34.85
R (4);R;2150030.00;1656203.17;8175937.87;34.85;31.52
Aa (15);Aa;2150030.00;1656203.17;8175937.87;31.52;26.59
MIG (13);MIG;2150030.00;1656203.17;8175937.87;26.59;20.55
SO2 (2);SO2;2150030.00;1656203.17;8175937.87;20.55;8.58
SB (1);SB;2150030.00;1656203.17;8175937.87;8.58;3.16
MCA;MCA;2150030.00;1656203.17;8175937.87;3.16;1.10
MC;MC;2150030.00;1656203.17;8175937.87;1.10;-16.67
CG (1);CG;2150030.00;1656203.17;8175937.87;-16.67;-20.18
DEM (1);DEM;2150040.00;1656193.18;8175938.28;34.93;34.93
R (4);R;2150040.00;1656193.18;8175938.28;34.93;31.41
Aa (15);Aa;2150040.00;1656193.18;8175938.28;31.41;26.97
MIG (13);MIG;2150040.00;1656193.18;8175938.28;26.97;20.63
SO2 (2);SO2;2150040.00;1656193.18;8175938.28;20.63;8.67
SB (1);SB;2150040.00;1656193.18;8175938.28;8.67;3.15
MCA;MCA;2150040.00;1656193.18;8175938.28;3.15;1.16
