ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;2122078;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122088;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122098;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122108;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122118;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122128;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122138;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122148;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122158;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122168;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122178;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122188;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122198;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122208;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122218;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122228;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122238;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122248;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122258;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122268;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122278;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122288;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122298;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122308;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122318;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122328;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122338;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122348;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122358;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122368;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122378;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122388;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122398;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122408;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122418;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122428;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122438;9.8;0.01;0.05;0.015;0.15;14;12;450
TBM1;TBM Unica di Progetto;2122448;9.8;0.01;0.05;0.015;0.15;14;12;450
