ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;2150000;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150010;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150020;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150030;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150040;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150050;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150060;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150070;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150080;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150090;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150100;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150110;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150120;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150130;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150140;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150150;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150160;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150170;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150180;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150190;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150200;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150210;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150220;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150230;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150240;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150250;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150260;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150270;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150280;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150290;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150300;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150310;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150320;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150330;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150340;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150350;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150360;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150370;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150380;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150390;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150400;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150410;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150420;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150430;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150440;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150450;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150460;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150470;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150480;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150490;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150500;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150510;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150520;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150530;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150540;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150550;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150560;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150570;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150580;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150590;7.7;0.01;0.05;0.015;0.15;14;10;300
TBM1;TBM Unica di Progetto;2150600;7.7;0.01;0.05;0.015;0.15;14;10;300
